trial,split,n_finestre,sensor_diff_RMSE_hist,sensor_diff_MAE_hist,sensor_diff_RMSE_fut,sensor_diff_MAE_fut,sensor_diff_RMSE_persist,sensor_diff_MAE_persist,sensor_diff_ppk,sensor_diff_RMSE_fut_pct,sensor_diff_persist_pct,sensor_diff_MAE_fut_pct,sensor_diff_MAE_persist_pct,sensor_diff_skill_rmse,sensor_diff_skill_mae,current_RMSE_hist,current_MAE_hist,current_RMSE_fut,current_MAE_fut,current_RMSE_persist,current_MAE_persist,current_ppk,current_RMSE_fut_pct,current_persist_pct,current_MAE_fut_pct,current_MAE_persist_pct,current_skill_rmse,current_skill_mae
trial_20260519_151413.csv,val,669,24.2263,18.0456,24.0775,20.0177,46.6602,27.3468,660.2,3.647,7.0676,3.0321,4.1422,0.484,0.268,16.8642,12.0397,17.4637,12.2863,33.9201,21.512,529.9301,3.2955,6.4009,2.3185,4.0594,0.4852,0.4289
trial_20260519_151524.csv,val,671,35.168,29.129,28.5092,22.505,64.7683,37.7082,641.8,4.4421,10.0917,3.5065,5.8754,0.5598,0.4032,23.0917,15.4059,22.8345,15.2231,46.5448,27.8501,489.58,4.6641,9.5071,3.1094,5.6886,0.5094,0.4534
trial_20260519_151709.csv,val,733,62.753,49.2991,58.8923,45.8349,101.5734,59.2163,720.1666,8.1776,14.1042,6.3645,8.2226,0.4202,0.226,24.028,17.1225,24.5722,16.9667,53.3437,33.425,441.16,5.5699,12.0917,3.8459,7.5766,0.5394,0.4924
trial_20260519_152249.csv,val,714,34.0638,26.4003,33.6779,27.1394,67.4155,39.0577,602.4,5.5906,11.1912,4.5052,6.4837,0.5004,0.3051,22.4637,15.3597,22.4397,15.1936,45.1549,27.921,411.57,5.4522,10.9714,3.6916,6.784,0.5031,0.4558
trial_20260519_152550.csv,val,911,36.0172,27.6685,36.6127,29.7108,83.3715,47.5122,694.0,5.2756,12.0132,4.2811,6.8461,0.5608,0.3747,31.0002,20.5041,29.8007,19.6856,58.5985,34.5802,559.52,5.3261,10.473,3.5183,6.1803,0.4914,0.4307
trial_20260519_152910.csv,val,668,43.1544,33.9426,45.9863,37.2799,68.5001,39.2674,700.4001,6.5657,9.7801,5.3227,5.6064,0.3287,0.0506,25.2006,16.5476,25.5204,16.2573,49.1838,28.5188,570.28,4.4751,8.6245,2.8508,5.0008,0.4811,0.4299
trial_20260519_153141.csv,val,4193,31.6287,21.5041,36.3151,27.3709,42.9772,23.5012,761.8999,4.7664,5.6408,3.5924,3.0845,0.155,-0.1647,17.0276,11.7392,16.679,11.2578,29.3035,17.1222,562.21,2.9667,5.2122,2.0024,3.0455,0.4308,0.3425
== COMPLESSIVO (pooled) ==,POOLED_val,8559,36.7475,26.2473,38.1375,28.999,61.4219,33.0581,859.7354,4.436,7.1443,3.373,3.8452,0.3791,0.1228,21.2006,14.1214,20.9778,13.7535,40.6019,23.351,583.73,3.5938,6.9556,2.3561,4.0003,0.4833,0.411
