t_ros_sec,t_rel_sec,tail_target_rad,tail_bias_rad,tail_bias_offset_rad,tail_amp_rad,tail_freq_hz,phase_rad,cycle_idx,present_position_rad,present_current_ma,sensor_len,sensor_values
1779196559.0212803,0.023161875000000002,0.9331393816119873,0.903,0.0,0.30033216317013334,0.7,0.10052270126955738,0,1.0569127628532067,121.05,2,"[529.0, 588.4000244140625]"
1779196559.0715194,0.07340081300000001,0.9980439525467707,0.903,0.0,0.30106132866906665,0.7,0.32119040984158503,0,1.1182719943686323,121.05,2,"[486.6000061035156, 648.0]"
1779196559.1214688,0.12335018600000001,1.0584235366702188,0.903,0.0,0.30178772045226665,0.7,0.5410187074760405,0,1.1152040327928612,56.49,2,"[486.6000061035156, 648.0]"
1779196559.1710837,0.17296492700000002,1.1113734091265366,0.903,0.0,0.3025108194472,0.7,0.7598505070004221,0,1.0584467436410925,-2.69,2,"[460.20001220703125, 660.2000122070312]"
1779196559.2210903,0.22297185800000002,1.1548029663619128,0.903,0.0,0.30323758696066666,0.7,0.9797925120677002,0,1.0200972239439514,67.25,2,"[460.20001220703125, 660.2000122070312]"
1779196559.2711458,0.27302718400000003,1.1862955139252704,0.903,0.0,0.3039648826445333,0.7,1.1998943575992818,0,1.026233147095494,99.53,2,"[465.79998779296875, 634.4000244140625]"
1779196559.321177,0.32305822500000003,1.2042317105294489,0.903,0.0,0.3046920048585333,0.7,1.4199437058609847,0,1.059980724428978,126.42999999999999,2,"[465.79998779296875, 634.4000244140625]"
1779196559.3711984,0.37307980300000004,1.2076902882927345,0.903,0.0,0.3054187425932,0.7,1.6398766989555766,0,1.102932186489776,137.19,2,"[456.0, 647.0]"
1779196559.4212608,0.42314228400000004,1.1964303585370981,0.903,0.0,0.30614618361039997,0.7,1.8600225267843085,0,1.1428156869748027,137.19,2,"[456.0, 647.0]"
1779196559.471321,0.47320260500000005,1.1709197329391132,0.903,0.0,0.30687354717946663,0.7,2.080144916446889,0,1.1719613219446299,145.26,2,"[435.6000061035156, 667.7999877929688]"
1779196559.521213,0.523094389,1.132452542487607,0.903,0.0,0.30759882614533335,0.7,2.2996364416320647,0,1.1811652066719438,142.57,2,"[435.6000061035156, 667.7999877929688]"
1779196559.572177,0.5740584240000001,1.081648734810198,0.903,0.0,0.3083389206382667,0.7,2.5236115969586432,0,1.179631225884058,29.59,2,"[432.0, 684.2000122070312]"
1779196559.6211646,0.623045932,1.0240046611991698,0.903,0.0,0.3090516095228,0.7,2.7392929797239898,0,1.1688933603688585,-5.38,2,"[432.0, 684.2000122070312]"
1779196559.6711462,0.673027559,0.9591809197372629,0.903,0.0,0.30977834411826666,0.7,2.9592250228009633,0,1.1397477253990314,-2.69,2,"[426.20001220703125, 676.4000244140625]"
1779196559.7211413,0.723022688,0.8913601711314814,0.903,0.0,0.310504851238,0.7,3.179088224786437,0,1.0983302441261191,-2.69,2,"[426.20001220703125, 676.4000244140625]"
1779196559.771176,0.773057356,0.8237317803128874,0.903,0.0,0.3112319207977333,0.7,3.3991216382618825,0,1.0492428589137786,-2.69,2,"[436.79998779296875, 661.5999755859375]"
1779196559.8211594,0.82304062,0.759669028701446,0.903,0.0,0.3119583941274667,0.7,3.6189746143632693,0,0.9894176081862386,-2.69,2,"[436.79998779296875, 661.5999755859375]"
1779196559.871171,0.873052212,0.7022119282996874,0.903,0.0,0.31268504504,0.7,3.8388813324335436,0,0.9265243958829272,-2.69,2,"[482.79998779296875, 635.5999755859375]"
1779196559.9211462,0.923027488,0.6541912605963163,0.903,0.0,0.31341154851186664,0.7,4.058743430463359,0,0.863631183579616,-16.14,2,"[482.79998779296875, 635.5999755859375]"
1779196559.9716246,0.9735059060000001,0.6176476445761989,0.903,0.0,0.3141456348376,0.7,4.280900331236367,0,0.8007379712763046,-51.11,2,"[579.7999877929688, 568.7999877929688]"
1779196560.0211537,1.023034979,0.5952966377417646,0.903,0.0,0.31486530299213333,0.7,4.4986938538666115,0,0.7424467013366504,-102.22,2,"[579.7999877929688, 568.7999877929688]"
