mode,t_ros_sec,t_rel_sec,tail_target_rad,tail_bias_rad,tail_bias_offset_rad,tail_amp_rad,tail_freq_hz,phase_rad,cycle_idx,present_position_rad,present_current_ma,sensor_len,sensor_values
chaotic_stop,1788863011.4714062,0.014701006,0.903,0.903,0.0,0.4686160497852321,0.0,0.0,0,0.863631183579616,-72.63,2,"[485.0, 602.5999755859375]"
chaotic_stop,1788863011.5208423,0.064137234,0.903,0.903,0.0,0.4686160497852321,0.0,0.0,0,0.7378447589729934,-72.63,2,"[485.0, 602.5999755859375]"
chaotic_stop,1788863011.5707867,0.11408158900000001,0.903,0.903,0.0,0.4686160497852321,0.0,0.0,0,0.7086991240031663,8.07,2,"[589.2000122070312, 484.3999938964844]"
chaotic_stop,1788863011.6209059,0.164200603,0.903,0.903,0.0,0.4686160497852321,0.0,0.0,0,0.760854470791278,2.69,2,"[589.2000122070312, 484.3999938964844]"
chaotic_stop,1788863011.6709907,0.214285666,0.903,0.903,0.0,0.4686160497852321,0.0,0.0,0,0.8283496254582462,2.69,2,"[562.7999877929688, 486.20001220703125]"
chaotic_stop,1788863011.7209897,0.264284569,0.903,0.903,0.0,0.4686160497852321,0.0,0.0,0,0.8743690490948155,2.69,2,"[562.7999877929688, 486.20001220703125]"
chaotic_stop,1788863011.7709959,0.314290612,0.903,0.903,0.0,0.4686160497852321,0.0,0.0,0,0.8973787609131001,2.69,2,"[541.7999877929688, 538.7999877929688]"
chaotic_stop,1788863011.8209872,0.36428219100000003,0.903,0.903,0.0,0.4686160497852321,0.0,0.0,0,0.9019807032767571,0.0,2,"[541.7999877929688, 538.7999877929688]"
chaotic_stop,1788863011.8710918,0.414386674,0.903,0.903,0.0,0.4686160497852321,0.0,0.0,0,0.9004467224888714,0.0,2,"[529.0, 545.5999755859375]"
chaotic_stop,1788863011.920815,0.46410971300000003,0.903,0.903,0.0,0.4686160497852321,0.0,0.0,0,0.9004467224888714,0.0,2,"[529.0, 545.5999755859375]"
chaotic_stop,1788863011.97079,0.514084946,0.903,0.903,0.0,0.4686160497852321,0.0,0.0,0,0.9019807032767571,0.0,2,"[525.4000244140625, 555.2000122070312]"
chaotic_stop,1788863012.021013,0.564307886,0.903,0.903,0.0,0.4686160497852321,0.0,0.0,0,0.9019807032767571,16.14,2,"[525.4000244140625, 555.2000122070312]"
chaotic_stop,1788863012.070963,0.61425768,0.903,0.903,0.0,0.4686160497852321,0.0,0.0,0,0.9004467224888714,0.0,2,"[519.7999877929688, 544.2000122070312]"
chaotic_stop,1788863012.1209774,0.6642724680000001,0.903,0.903,0.0,0.4686160497852321,0.0,0.0,0,0.9019807032767571,0.0,2,"[519.7999877929688, 544.2000122070312]"
chaotic_stop,1788863012.1709034,0.71419822,0.903,0.903,0.0,0.4686160497852321,0.0,0.0,0,0.9019807032767571,8.07,2,"[519.0, 546.4000244140625]"
chaotic_stop,1788863012.2210996,0.764394529,0.903,0.903,0.0,0.4686160497852321,0.0,0.0,0,0.9019807032767571,2.69,2,"[519.0, 546.4000244140625]"
chaotic_stop,1788863012.2711282,0.81442298,0.903,0.903,0.0,0.4686160497852321,0.0,0.0,0,0.9019807032767571,0.0,2,"[523.0, 544.0]"
chaotic_stop,1788863012.3208022,0.864097034,0.903,0.903,0.0,0.4686160497852321,0.0,0.0,0,0.9019807032767571,0.0,2,"[523.0, 544.0]"
chaotic_stop,1788863012.3707652,0.9140600480000001,0.903,0.903,0.0,0.4686160497852321,0.0,0.0,0,0.9019807032767571,0.0,2,"[522.0, 541.0]"
chaotic_stop,1788863012.4208157,0.964110576,0.903,0.903,0.0,0.4686160497852321,0.0,0.0,0,0.9019807032767571,0.0,2,"[522.0, 541.0]"
chaotic_stop,1788863012.4716702,1.014964886,0.903,0.903,0.0,0.4686160497852321,0.0,0.0,0,0.9019807032767571,0.0,2,"[520.0, 542.7999877929688]"
chaotic_stop,1788863012.5210881,1.0643830490000001,0.903,0.903,0.0,0.4686160497852321,0.0,0.0,0,0.9019807032767571,0.0,2,"[520.0, 542.7999877929688]"
chaotic_stop,1788863012.5710301,1.1143250580000001,0.903,0.903,0.0,0.4686160497852321,0.0,0.0,0,0.9019807032767571,5.38,2,"[518.5999755859375, 544.5999755859375]"
chaotic_stop,1788863012.62099,1.164284922,0.903,0.903,0.0,0.4686160497852321,0.0,0.0,0,0.9019807032767571,0.0,2,"[518.5999755859375, 544.5999755859375]"
chaotic_stop,1788863012.6710088,1.214303613,0.903,0.903,0.0,0.4686160497852321,0.0,0.0,0,0.9019807032767571,0.0,2,"[522.2000122070312, 538.4000244140625]"
chaotic_stop,1788863012.720874,1.26416882,0.903,0.903,0.0,0.4686160497852321,0.0,0.0,0,0.9019807032767571,0.0,2,"[522.2000122070312, 538.4000244140625]"
chaotic_stop,1788863012.770781,1.314075928,0.903,0.903,0.0,0.4686160497852321,0.0,0.0,0,0.9019807032767571,0.0,2,"[515.0, 544.7999877929688]"
chaotic_stop,1788863012.8209836,1.3642784060000002,0.903,0.903,0.0,0.4686160497852321,0.0,0.0,0,0.9019807032767571,2.69,2,"[515.0, 544.7999877929688]"
chaotic_stop,1788863012.87085,1.414145027,0.903,0.903,0.0,0.4686160497852321,0.0,0.0,0,0.9019807032767571,0.0,2,"[516.5999755859375, 542.4000244140625]"
chaotic_stop,1788863012.9211025,1.464397224,0.903,0.903,0.0,0.4686160497852321,0.0,0.0,0,0.9019807032767571,2.69,2,"[516.5999755859375, 542.4000244140625]"
