mode,t_ros_sec,t_rel_sec,tail_target_rad,tail_bias_rad,tail_bias_offset_rad,tail_amp_rad,tail_freq_hz,phase_rad,cycle_idx,present_position_rad,present_current_ma,sensor_len,sensor_values
random_walk,1788862599.7642787,0.034289593,0.967165257263117,0.903,0.0,0.33259689313382756,0.9071863320953322,0.19413922128959119,0,1.1167380135807468,104.91,2,"[469.20001220703125, 625.7999877929688]"
random_walk,1788862599.8141074,0.08411846,1.0563784560953149,0.903,0.0,0.3328062151432864,0.9075159094097336,0.4789686838394427,0,1.1734953027325155,72.63,2,"[469.20001220703125, 625.7999877929688]"
random_walk,1788862599.8640435,0.134054373,1.1333991978953315,0.903,0.0,0.3329841388513264,0.9077960501269748,0.7641484303057628,0,1.1704273411567443,-2.69,2,"[457.6000061035156, 649.2000122070312]"
random_walk,1788862599.9142015,0.184212285,1.1919450177967605,0.903,0.0,0.33313537400316034,0.9080341697366299,1.0498531612992381,0,1.0891263593988052,-13.45,2,"[457.6000061035156, 649.2000122070312]"
random_walk,1788862599.964192,0.234202766,1.2270551486262953,0.903,0.0,0.33326392388221926,0.9082365714048367,1.3351683108366683,0,1.0569127628532067,43.04,2,"[449.20001220703125, 625.2000122070312]"
random_walk,1788862600.0139797,0.28399071000000004,1.2359759027345043,0.903,0.0,0.33337319127941933,0.9084086128228125,1.6196217282117393,0,1.0921943209745766,107.6,2,"[449.20001220703125, 625.2000122070312]"
random_walk,1788862600.0639997,0.334010662,1.2179986928459512,0.903,0.0,0.33346606856703936,0.9085548480280919,1.9051581642017998,0,1.1382137446111458,115.67,2,"[449.79998779296875, 618.5999755859375]"
random_walk,1788862600.1139946,0.38400553400000004,1.1744975213947342,0.903,0.0,0.3335450142615164,0.9086791479525794,2.1906290227265237,0,1.179631225884058,110.28999999999999,2,"[449.79998779296875, 618.5999755859375]"
random_walk,1788862600.1641963,0.43420717200000003,1.1087816658011518,0.903,0.0,0.3336121181018219,0.9087848028883938,2.47688492928875,0,1.179631225884058,129.12,2,"[438.6000061035156, 638.4000244140625]"
random_walk,1788862600.2139723,0.483983184,1.0267458672338876,0.903,0.0,0.3336691563660816,0.908874609583836,2.7616534947264184,0,1.201106956914457,142.57,2,"[438.6000061035156, 638.4000244140625]"
random_walk,1788862600.2640245,0.534035342,0.9343465181485617,0.903,0.0,0.3337176388907023,0.9089509452749619,3.047522715549969,0,1.201106956914457,-2.69,2,"[436.3999938964844, 654.4000244140625]"
random_walk,1788862600.3140037,0.584014872,0.8395210797510536,0.903,0.0,0.3337588490366299,0.9090158306124189,3.3329523719664578,0,1.1765632643082868,-2.69,2,"[436.3999938964844, 654.4000244140625]"
random_walk,1788862600.3641005,0.6341114290000001,0.7497382593402958,0.903,0.0,0.33379387766066837,0.9090709831492573,3.6186317447063585,0,1.1320778214596032,-2.69,2,"[432.0, 651.7999877929688]"
random_walk,1788862600.4139664,0.683977383,0.6724759498066692,0.903,0.0,0.33382365199110103,0.9091178628055699,3.903850661029733,0,0.983281685034696,-13.45,2,"[432.0, 651.7999877929688]"
random_walk,1788862600.464003,0.734014218,0.6137425216956873,0.903,0.0,0.3338489601719688,0.9091577105134357,4.189604307024728,0,0.8973787609131001,-24.21,2,"[466.3999938964844, 608.7999877929688]"
random_walk,1788862600.513988,0.78399894,0.5784771042612533,0.903,0.0,0.3338704721257064,0.9091915810651217,4.475200270697598,0,0.8022719520641903,-56.49,2,"[466.3999938964844, 608.7999877929688]"
random_walk,1788862600.5640943,0.8341053030000001,0.5695092570377935,0.903,0.0,0.3338887572863834,0.9092203710340547,4.761221215445761,0,0.8022719520641903,-37.66,2,"[531.7999877929688, 523.4000244140625]"
