mode,t_ros_sec,t_rel_sec,tail_target_rad,center_rad,tail_amp_rad,tail_freq_hz,phase_rad,real_position_rad,present_current_ma,sensor_values
std,1789043801.8901122,0.044864541,0.9588974287934449,0.903,0.4,0.5,0.1402024408825056,1.0569127628532067,13.45,"[520.7999877929688, 564.5999755859375]"
std,1789043801.9393523,0.09410443,1.0194180674344198,0.903,0.4,0.5,0.2953191185074381,1.0783884938836057,2.69,"[510.3999938964844, 591.0]"
std,1789043801.9893067,0.144059039,1.0778053574409183,0.903,0.4,0.5,0.4522755222150907,1.038504993398579,-51.11,"[510.3999938964844, 591.0]"
std,1789043802.0394967,0.19424897000000002,1.1321211544579408,0.903,0.4,0.5,0.6099212196252748,1.0200972239439514,-2.69,"[506.79998779296875, 580.4000244140625]"
std,1789043802.0892587,0.24401082400000002,1.1803872496782475,0.903,0.4,0.5,0.7662915529402149,1.0231651855197226,48.42,"[506.79998779296875, 580.4000244140625]"
std,1789043802.1394234,0.294175674,1.222161543058601,0.903,0.4,0.5,0.9238097393877751,1.047708878125893,32.28,"[507.0, 575.7999877929688]"
std,1789043802.1894138,0.344165947,1.255946283168679,0.903,0.4,0.5,1.0808661305648135,1.086058397823034,51.11,"[507.0, 575.7999877929688]"
std,1789043802.239396,0.3941485,1.2810450680175924,0.903,0.4,0.5,1.2379392570059176,1.1274758790959463,94.14999999999999,"[491.79998779296875, 611.7999877929688]"
std,1789043802.2894845,0.44423684300000005,1.296851260261737,0.903,0.4,0.5,1.3952321284283622,1.1704273411567443,112.98,"[491.79998779296875, 611.7999877929688]"
std,1789043802.3395677,0.49432016300000003,1.3029334156364034,0.903,0.4,0.5,1.5525499283885131,1.2118448224296565,123.74,"[462.3999938964844, 637.0]"
std,1789043802.389415,0.5441673370000001,1.299176837033532,0.903,0.4,0.5,1.709166641107311,1.2501943421267976,123.74,"[462.3999938964844, 637.0]"
std,1789043802.439263,0.594015288,1.2857123769196306,0.903,0.4,0.5,1.8658692355444801,1.2701360923693108,147.95,"[456.6000061035156, 660.2000122070312]"
std,1789043802.4892573,0.644009535,1.2628060631292595,0.903,0.4,0.5,2.0229341687119438,1.2793399770966247,164.09,"[456.6000061035156, 660.2000122070312]"
std,1789043802.5394552,0.694207452,1.2309167298232901,0.903,0.4,0.5,2.1805452520542707,1.282407938672396,123.74,"[434.79998779296875, 653.4000244140625]"
std,1789043802.5894735,0.7442256850000001,1.1910588064761,0.903,0.4,0.5,2.337578464560711,1.282407938672396,53.8,"[434.79998779296875, 653.4000244140625]"
std,1789043802.6395066,0.794258817,1.1441145819097898,0.903,0.4,0.5,2.4946039079085187,1.2686021115814252,-5.38,"[428.6000061035156, 649.7999877929688]"
std,1789043802.689615,0.8443672200000001,1.0911604607488787,0.903,0.4,0.5,2.6518473432289666,1.244058418975255,-2.69,"[428.6000061035156, 649.7999877929688]"
std,1789043802.7394571,0.8942095800000001,1.033688416749782,0.903,0.4,0.5,2.8087605217632987,1.2118448224296565,-2.69,"[432.6000061035156, 629.5999755859375]"
std,1789043802.7894275,0.944179952,0.9729514969300669,0.903,0.4,0.5,2.965810042277204,1.162757437217316,-2.69,"[432.6000061035156, 629.5999755859375]"
std,1789043802.8392842,0.994036424,0.9106096231227461,0.903,0.4,0.5,3.1225674480814,1.1167380135807468,-2.69,"[463.79998779296875, 640.5999755859375]"
std,1789043802.8893054,1.0440577420000001,0.8479401960068689,0.903,0.4,0.5,3.2796805952713184,1.0676506283684062,-21.52,"[463.79998779296875, 640.5999755859375]"
std,1789043802.9393265,1.0940787730000001,0.7866365814070505,0.903,0.4,0.5,3.436768971003163,1.0139613007924089,-91.46,"[494.79998779296875, 599.2000122070312]"
std,1789043802.9895911,1.144343353,0.7279639866293343,0.903,0.4,0.5,3.594509374865482,0.9587379924285258,-115.67,"[494.79998779296875, 599.2000122070312]"
std,1789043803.0394258,1.1941783540000002,0.6739689367746877,0.903,0.4,0.5,3.7512391283711417,0.8973787609131001,-2.69,"[522.7999877929688, 561.5999755859375]"
std,1789043803.089438,1.2441903650000001,0.625479685611177,0.903,0.4,0.5,3.908346026933272,0.8252816638824749,-5.38,"[522.7999877929688, 561.5999755859375]"
std,1789043803.1395335,1.294285661,0.5837865185306201,0.903,0.4,0.5,4.065617833976974,0.7715923363064775,-45.73,"[550.2000122070312, 531.4000244140625]"
std,1789043803.189611,1.344363113,0.5499902967888972,0.903,0.4,0.5,4.222795826780855,0.7040971816395093,-45.73,"[550.2000122070312, 531.4000244140625]"
std,1789043803.2394743,1.394226664,0.5249231923086883,0.903,0.4,0.5,4.379774843672428,0.6534758156392831,-29.59,"[565.4000244140625, 522.2000122070312]"
