mode,t_ros_sec,t_rel_sec,tail_target_rad,tail_bias_rad,tail_bias_offset_rad,tail_amp_rad,tail_freq_hz,phase_rad,cycle_idx,present_position_rad,present_current_ma,sensor_len,sensor_values
chaotic_stop,1788870077.7697718,0.013390521,0.9280869210602589,0.903,0.0,0.5003985442253748,0.6004071608253672,0.05015490590462553,0,0.7700583555185919,-2.69,2,"[570.2000122070312, 534.5999755859375]"
chaotic_stop,1788870077.81988,0.063498708,1.02148746927164,0.903,0.0,0.5003985442253748,0.6004071608253672,0.23905663958498513,0,0.662679700366597,-2.69,2,"[570.2000122070312, 534.5999755859375]"
chaotic_stop,1788870077.8698792,0.11349784600000001,1.1105514146176887,0.903,0.0,0.5003985442253748,0.6004071608253672,0.42769245943866685,0,0.6611457195787114,-2.69,2,"[601.4000244140625, 485.3999938964844]"
chaotic_stop,1788870077.9197283,0.16334671,1.192064719540424,0.903,0.0,0.5003985442253748,0.6004071608253672,0.615870109105028,0,0.7501166052760785,118.36,2,"[601.4000244140625, 485.3999938964844]"
chaotic_stop,1788870077.9698179,0.213436438,1.2636333553031647,0.903,0.0,0.5003985442253748,0.6004071608253672,0.8048003588819694,0,0.880504972246358,2.69,2,"[568.0, 530.7999877929688]"
chaotic_stop,1788870078.0197783,0.26339676300000003,1.3222561978640635,0.903,0.0,0.5003985442253748,0.6004071608253672,0.9933228235735808,0,1.009359358428752,2.69,2,"[568.0, 530.7999877929688]"
chaotic_stop,1788870078.0697248,0.31334347700000004,1.3659937944058893,0.903,0.0,0.5003985442253748,0.6004071608253672,1.1816942914029376,0,1.1136700520049756,2.69,2,"[490.0, 634.5999755859375]"
chaotic_stop,1788870078.1197493,0.363367887,1.3933924525827253,0.903,0.0,0.5003985442253748,0.6004071608253672,1.370480357397453,0,1.1903690913992575,207.13,2,"[490.0, 634.5999755859375]"
chaotic_stop,1788870078.1698604,0.41347916700000004,1.403366123951748,0.903,0.0,0.5003985442253748,0.6004071608253672,1.5594130404171906,0,1.2547962844904545,80.7,2,"[435.79998779296875, 680.7999877929688]"
chaotic_stop,1788870078.219881,0.46349960700000004,1.395550557536479,0.903,0.0,0.5003985442253748,0.6004071608253672,1.7481357741945591,0,1.3130875544301088,172.16,2,"[435.79998779296875, 680.7999877929688]"
chaotic_stop,1788870078.2697349,0.5133534630000001,1.3703443532599864,0.903,0.0,0.5003985442253748,0.6004071608253672,1.9362988432664914,0,1.35143707412725,172.16,2,"[391.3999938964844, 705.7999877929688]"
chaotic_stop,1788870078.3197122,0.563330632,1.3285420037591993,0.903,0.0,0.5003985442253748,0.6004071608253672,2.1248358621452454,0,1.372912805157649,185.60999999999999,2,"[391.3999938964844, 705.7999877929688]"
chaotic_stop,1788870078.369774,0.6133927180000001,1.2715590838206494,0.903,0.0,0.5003985442253748,0.6004071608253672,2.313665183274489,0,1.37598076673342,104.91,2,"[384.20001220703125, 713.7999877929688]"
chaotic_stop,1788870078.4197435,0.6633622960000001,1.2015886244892888,0.903,0.0,0.5003985442253748,0.6004071608253672,2.502208170199915,0,1.371378824369763,-2.69,2,"[384.20001220703125, 713.7999877929688]"
chaotic_stop,1788870078.4698896,0.7135081560000001,1.1208184741703064,0.903,0.0,0.5003985442253748,0.6004071608253672,2.6912323016516195,0,1.3437671701878218,-5.38,2,"[381.20001220703125, 701.7999877929688]"
chaotic_stop,1788870078.51981,0.7634284600000001,1.0325950887181727,0.903,0.0,0.5003985442253748,0.6004071608253672,2.8796227525472546,0,1.3023496889149093,-2.69,2,"[381.20001220703125, 701.7999877929688]"
chaotic_stop,1788870078.5698562,0.813474801,0.9396099076179434,0.903,0.0,0.5003985442253748,0.6004071608253672,3.0683657293956985,0,1.248660361338912,-2.69,2,"[393.6000061035156, 690.5999755859375]"
chaotic_stop,1788870078.6198368,0.8634553770000001,0.8454087752927052,0.903,0.0,0.5003985442253748,0.6004071608253672,3.2569389715261234,0,1.179631225884058,-13.45,2,"[393.6000061035156, 690.5999755859375]"
chaotic_stop,1788870078.6697276,0.913346156,0.7533688878320166,0.903,0.0,0.5003985442253748,0.6004071608253672,3.4452622158784854,0,1.081456455459377,-13.45,2,"[453.79998779296875, 653.0]"
chaotic_stop,1788870078.7196996,0.96331805,0.666531104754837,0.903,0.0,0.5003985442253748,0.6004071608253672,3.633787249621793,0,0.9970875121256667,-29.59,2,"[453.79998779296875, 653.0]"
chaotic_stop,1788870078.7697775,1.013396062,0.5879448048658262,0.903,0.0,0.5003985442253748,0.6004071608253672,3.822641891565993,0,0.9127185687919565,-129.12,2,"[514.2000122070312, 592.0]"
