mode,t_ros_sec,t_rel_sec,tail_target_rad,center_rad,tail_amp_rad,tail_freq_hz,phase_rad,real_position_rad,present_current_ma,sensor_values
std,1789044091.5892344,0.001181743,0.90447414960076,0.903,0.3,0.7,0.004913851777437035,0.9572040116406401,8.07,"[545.7999877929688, 549.4000244140625]"
std,1789044091.6395662,0.051513694000000006,0.9701300828684527,0.903,0.3,0.7,0.22567771444749454,1.0277671278833795,8.07,"[512.5999755859375, 575.5999755859375]"
std,1789044091.6892378,0.10118531900000001,1.032043261629279,0.903,0.3,0.7,0.44465250921637106,1.0507768397016641,-69.94,"[512.5999755859375, 575.5999755859375]"
std,1789044091.7392576,0.151205046,1.0880368787699504,0.903,0.3,0.7,0.6646575233225466,1.0108933392166375,-67.25,"[509.0, 583.4000244140625]"
std,1789044091.7893538,0.201301361,1.1351534918442985,0.903,0.3,0.7,0.8848894508961798,0.9756117810952678,75.32,"[509.0, 583.4000244140625]"
std,1789044091.8392563,0.25120381,1.1709679794552854,0.903,0.3,0.7,1.104471276135635,0.9694758579437253,80.7,"[512.4000244140625, 556.4000244140625]"
std,1789044091.8892462,0.301193881,1.1939385162428011,0.903,0.3,0.7,1.3243891877005343,1.012427320004523,80.7,"[512.4000244140625, 556.4000244140625]"
std,1789044091.9393036,0.351250967,1.2028959854959542,0.903,0.3,0.7,1.5444625063141841,1.059980724428978,2.69,"[505.6000061035156, 576.2000122070312]"
std,1789044091.9893441,0.401291573,1.197389100804363,0.903,0.3,0.7,1.7645053363994494,1.1075341288534328,24.21,"[505.6000061035156, 576.2000122070312]"
std,1789044092.0392804,0.451228057,1.1777290327164844,0.903,0.3,0.7,1.984188386895796,1.1504855909142309,53.8,"[496.6000061035156, 607.0]"
std,1789044092.089389,0.501336725,1.14476304539993,0.903,0.3,0.7,2.204437771043168,1.175029283520401,86.08,"[496.6000061035156, 607.0]"
std,1789044092.1392741,0.5512217660000001,1.1002619821216042,0.903,0.3,0.7,2.424043755758448,1.1857671490356005,53.8,"[469.0, 623.5999755859375]"
std,1789044092.1894317,0.601379269,1.0460778588064317,0.903,0.3,0.7,2.6444384310262263,1.1811652066719438,0.0,"[469.0, 623.5999755859375]"
std,1789044092.2393174,0.651264817,0.9852319853004883,0.903,0.3,0.7,2.8639320365740577,1.1596894756415448,-2.69,"[468.20001220703125, 620.4000244140625]"
