mode,t_ros_sec,t_rel_sec,tail_target_rad,center_rad,tail_amp_rad,tail_freq_hz,phase_rad,real_position_rad,present_current_ma,sensor_values
turning_combined,1789045311.6395369,0.041505191000000004,0.9467248862981312,0.9076692573643388,0.3006000803305333,0.5022269503916359,0.13029388673173453,1.1336118022474888,-2.69,"[366.0, 562.0]"
turning_combined,1789045311.6893573,0.091325688,0.9991007098403786,0.9133112083780309,0.3013257457232,0.5049199578910809,0.2887005999903878,1.1013982057018903,-40.35,"[366.0, 562.0]"
turning_combined,1789045311.7393832,0.141351736,1.0498547699089236,0.9189528985595796,0.3020526866484,0.5076176990028942,0.4482335916178125,1.0369710126106935,-40.35,"[472.3333435058594, 460.8333435058594]"
turning_combined,1789045311.7901664,0.192134844,1.098326070046671,0.9246567124933787,0.3027897082424,0.5103528503549535,0.6108503842166927,1.004757416065095,-2.69,"[472.3333435058594, 460.8333435058594]"
turning_combined,1789045311.839457,0.241425608,1.1414354030632818,0.9301840617126386,0.3035066472113333,0.5130134733355903,0.7698608068647984,1.0016894544893238,0.0,"[488.75, 514.5]"
turning_combined,1789045311.8893557,0.291324026,1.1799394052986816,0.9357534125608039,0.3042324875272,0.5157071299902716,0.9316907406855661,1.021631204731837,32.28,"[488.75, 514.5]"
turning_combined,1789045311.9392776,0.34124612000000004,1.21227845788812,0.9412887062819686,0.3049580902085333,0.5183999047624945,1.094312414120823,1.0584467436410925,8.07,"[488.5, 526.1666870117188]"
turning_combined,1789045311.9893382,0.39130679100000004,1.2376606876174099,0.9467975267194626,0.30568517703386666,0.521098187322415,1.2581148936935973,1.0983302441261191,45.73,"[488.5, 526.1666870117188]"
turning_combined,1789045312.0394297,0.44139812300000003,1.2553350714745732,0.9522673960767977,0.3064128412685333,0.5237986126986811,1.4228969837890773,1.1366797638232602,86.08,"[476.0, 534.25]"
turning_combined,1789045312.089578,0.49154640000000005,1.2647900115990731,0.9576981252064617,0.30714180228346666,0.5265038505395053,1.5888252931699816,1.1719613219446299,104.91,"[476.0, 534.25]"
turning_combined,1789045312.1395493,0.5415179090000001,1.2657182662941213,0.9630499375189304,0.30786741061826667,0.5291966462922356,1.7548351900185928,1.2026409377023426,123.74,"[445.6000061035156, 548.7999877929688]"
turning_combined,1789045312.1894486,0.591417045,1.258126579149233,0.9683450054434561,0.3085933423778667,0.5318906423025788,1.9217645701866948,1.2256506495206272,126.42999999999999,"[445.6000061035156, 548.7999877929688]"
