trial,split,n_finestre,sensor_diff_net,sensor_diff_P,sensor_diff_RMSE_1,sensor_diff_nRMSE_1,sensor_diff_R2_1,sensor_diff_RMSE_persist_1,sensor_diff_skill_rmse_1,sensor_diff_RMSE_avg,sensor_diff_nRMSE_avg,sensor_diff_R2_avg,sensor_diff_RMSE_persist_avg,sensor_diff_skill_rmse_avg,sensor_diff_RMSE_P,sensor_diff_nRMSE_P,sensor_diff_R2_P,sensor_diff_RMSE_persist_P,sensor_diff_skill_rmse_P,current_net,current_P,current_RMSE_1,current_nRMSE_1,current_R2_1,current_RMSE_persist_1,current_skill_rmse_1,current_RMSE_avg,current_nRMSE_avg,current_R2_avg,current_RMSE_persist_avg,current_skill_rmse_avg,current_RMSE_P,current_nRMSE_P,current_R2_P,current_RMSE_persist_P,current_skill_rmse_P,cmd_net,cmd_P,cmd_RMSE_1,cmd_nRMSE_1,cmd_R2_1,cmd_RMSE_persist_1,cmd_skill_rmse_1,cmd_RMSE_avg,cmd_nRMSE_avg,cmd_R2_avg,cmd_RMSE_persist_avg,cmd_skill_rmse_avg,cmd_RMSE_P,cmd_nRMSE_P,cmd_R2_P,cmd_RMSE_persist_P,cmd_skill_rmse_P
trial_4.csv,val,280,FM,1,27.2743,0.2585,0.9332,68.2327,0.6003,27.2743,0.2585,0.9332,68.2327,0.6003,27.274288177490234,0.2585372956917098,0.9331584661654715,68.23273468017578,0.6002756110343257,FM,1,14.2453,0.3256,0.894,52.8019,0.7302,14.2453,0.3256,0.894,52.8019,0.7302,14.245322227478027,0.3256000121718791,0.893984643901827,52.80192565917969,0.7302120699266305,IM,1,0.0252,0.1256,0.9842,0.1263,0.8008,0.0252,0.1256,0.9842,0.1263,0.8008,0.025156084448099136,0.12562989968487528,0.9842171281985286,0.12627412378787994,0.8007819520461905
trial_46.csv,val,280,FM,1,14.4932,0.087,0.9924,88.0784,0.8355,14.4932,0.087,0.9924,88.0784,0.8355,14.493215560913086,0.08696263461172413,0.9924375002250173,88.0783920288086,0.8354509519636478,FM,1,12.9385,0.2754,0.9241,50.3576,0.7431,12.9385,0.2754,0.9241,50.3576,0.7431,12.938450813293457,0.27542997446228523,0.9241383260553572,50.35763168334961,0.7430687190642553,IM,1,0.0274,0.111,0.9877,0.1265,0.7831,0.0274,0.111,0.9877,0.1265,0.7831,0.02743525244295597,0.11102110762383297,0.9876743129201837,0.12646494805812836,0.7830604221626246
trial_47.csv,val,280,FM,1,19.4363,0.1084,0.9883,107.3145,0.8189,19.4363,0.1084,0.9883,107.3145,0.8189,19.436338424682617,0.1083733174346989,0.9882552241297202,107.31449127197266,0.8188843072887136,FM,1,16.6175,0.2488,0.9381,72.1153,0.7696,16.6175,0.2488,0.9381,72.1153,0.7696,16.617488861083984,0.24875996199082206,0.9381184905212265,72.1152572631836,0.769570414199055,IM,1,0.0311,0.1103,0.9878,0.1663,0.8132,0.0311,0.1103,0.9878,0.1663,0.8132,0.031075559556484222,0.11029971312333793,0.9878339733348689,0.1663149893283844,0.8131523822237912
trial_56.csv,val,280,FM,1,47.4715,0.3218,0.8964,114.8065,0.5865,47.4715,0.3218,0.8964,114.8065,0.5865,47.47149658203125,0.32181701762752046,0.8964338046119542,114.80651092529297,0.5865086727274382,FM,1,15.3686,0.2815,0.9207,57.111,0.7309,15.3686,0.2815,0.9207,57.111,0.7309,15.368570327758789,0.28153277552910316,0.9207392965097544,57.11104965209961,0.7309002299663777,IM,1,0.0525,0.2196,0.9518,0.1496,0.6493,0.0525,0.2196,0.9518,0.1496,0.6493,0.052484460175037384,0.21964193009779573,0.9517574257647216,0.14963558316230774,0.6492514743761971
trial_57.csv,val,280,FM,1,49.1318,0.262,0.9314,124.3059,0.6048,49.1318,0.262,0.9314,124.3059,0.6048,49.131832122802734,0.26196423153871895,0.9313747356758844,124.30585479736328,0.6047504584325911,FM,1,15.4884,0.2625,0.9311,62.5465,0.7524,15.4884,0.2625,0.9311,62.5465,0.7524,15.488391876220703,0.2624694836864386,0.9311097719634182,62.54652404785156,0.7523700619338778,IM,1,0.0245,0.0869,0.9924,0.1479,0.8344,0.0245,0.0869,0.9924,0.1479,0.8344,0.02449001558125019,0.08692229101856074,0.9924445145136598,0.14786723256111145,0.8343783463240998
trial_70.csv,val,280,FM,1,18.7146,0.1503,0.9774,67.9911,0.7247,18.7146,0.1503,0.9774,67.9911,0.7247,18.714632034301758,0.15027554491760456,0.9774172602898556,67.99113464355469,0.7247489377488152,FM,1,10.6213,0.2584,0.9332,39.197,0.729,10.6213,0.2584,0.9332,39.197,0.729,10.621282577514648,0.2583809145012626,0.9332393130729695,39.19700241088867,0.7290281928659901,IM,1,0.0196,0.0963,0.9907,0.101,0.8062,0.0196,0.0963,0.9907,0.101,0.8062,0.019569426774978638,0.0963203903739311,0.990722381837883,0.10097424685955048,0.8061938822658552
trial_72.csv,val,280,FM,1,28.9756,0.1986,0.9605,87.1045,0.6673,28.9756,0.1986,0.9605,87.1045,0.6673,28.975555419921875,0.19862105292664875,0.9605496745492969,87.10447692871094,0.6673471164560647,FM,1,14.1134,0.32,0.8976,50.7102,0.7217,14.1134,0.32,0.8976,50.7102,0.7217,14.113444328308105,0.3199723966595781,0.8976176641537507,50.71024703979492,0.721684567672633,IM,1,0.037,0.164,0.9731,0.1325,0.7207,0.037,0.164,0.9731,0.1325,0.7207,0.03699755296111107,0.16398009319045037,0.9731105268700698,0.13248299062252045,0.72073733550802
trial_79.csv,val,280,FM,1,30.2766,0.1669,0.9721,65.7764,0.5397,30.2766,0.1669,0.9721,65.7764,0.5397,30.276634216308594,0.1668891059077973,0.9721480261034033,65.77635192871094,0.5397033534312954,FM,1,22.649,0.3666,0.8656,55.2606,0.5901,22.649,0.3666,0.8656,55.2606,0.5901,22.649005889892578,0.3665570138273953,0.8656359536908238,55.26063919067383,0.5901421658959931,IM,1,0.0649,0.2408,0.942,0.1001,0.3515,0.0649,0.2408,0.942,0.1001,0.3515,0.06490274518728256,0.2408119841233421,0.9420095906542102,0.10008244961500168,0.35150722792106714
trial_83.csv,val,280,FM,1,18.2889,0.1421,0.9798,77.2834,0.7634,18.2889,0.1421,0.9798,77.2834,0.7634,18.288896560668945,0.14205245985378534,0.9798210973225782,77.28337860107422,0.7633527817789434,FM,1,15.8689,0.3119,0.9027,55.647,0.7148,15.8689,0.3119,0.9027,55.647,0.7148,15.868889808654785,0.3119475825292495,0.9026887034947711,55.64697265625,0.7148292341672882,IM,1,0.034,0.1566,0.9755,0.1296,0.738,0.034,0.1566,0.9755,0.1296,0.738,0.03395960479974747,0.15662158479850263,0.9754696775698342,0.12961497902870178,0.7379962944543046
trial_85.csv,val,280,FM,1,17.5954,0.0998,0.99,111.9094,0.8428,17.5954,0.0998,0.99,111.9094,0.8428,17.595439910888672,0.0998300274236448,0.9900339652122879,111.90938568115234,0.8427706505241581,FM,1,15.7071,0.2552,0.9349,69.484,0.7739,15.7071,0.2552,0.9349,69.484,0.7739,15.70709228515625,0.25519621596207237,0.9348748914064113,69.48402404785156,0.7739467093278989,IM,1,0.022,0.0799,0.9936,0.1799,0.8776,0.022,0.0799,0.9936,0.1799,0.8776,0.022022666409611702,0.07990828976065839,0.9936146637268183,0.17989395558834076,0.8775797311388986
trial_89.csv,val,280,FM,1,41.2209,0.2649,0.9298,89.9917,0.5419,41.2209,0.2649,0.9298,89.9917,0.5419,41.220890045166016,0.2648787727998078,0.9298392481780909,89.99170684814453,0.5419479028803873,FM,1,12.5282,0.2506,0.9372,45.6468,0.7255,12.5282,0.2506,0.9372,45.6468,0.7255,12.528200149536133,0.2505927957725856,0.9372032465318368,45.646846771240234,0.7255407320395784,IM,1,0.0196,0.0825,0.9932,0.1037,0.8108,0.0196,0.0825,0.9932,0.1037,0.8108,0.019627805799245834,0.08253072315147623,0.9931886803350388,0.10371940582990646,0.8107605260346916
trial_90.csv,val,280,FM,1,46.1371,0.2356,0.9445,125.17,0.6314,46.1371,0.2356,0.9445,125.17,0.6314,46.13709259033203,0.23559060486352976,0.944497071930332,125.16999816894531,0.6314045436985662,FM,1,15.7779,0.2699,0.9272,63.3104,0.7508,15.7779,0.2699,0.9272,63.3104,0.7508,15.777904510498047,0.26986289008873393,0.927174023413778,63.310386657714844,0.7507848973376094,IM,1,0.0204,0.0694,0.9952,0.1537,0.8674,0.0204,0.0694,0.9952,0.1537,0.8674,0.02037319727241993,0.06940518228819782,0.9951829205671155,0.15369683504104614,0.8674455640743736
trial_93.csv,val,280,FM,1,20.5714,0.1364,0.9814,102.2499,0.7988,20.5714,0.1364,0.9814,102.2499,0.7988,20.57140350341797,0.1364493252417196,0.9813815817203889,102.2499008178711,0.798812484522014,FM,1,17.2065,0.3302,0.891,61.0331,0.7181,17.2065,0.3302,0.891,61.0331,0.7181,17.20653533935547,0.33016840119041246,0.8909888315310969,61.03311538696289,0.718078698256473,IM,1,0.0369,0.1568,0.9754,0.1562,0.764,0.0369,0.1568,0.9754,0.1562,0.764,0.0368630476295948,0.15675201448144271,0.975428808222222,0.156174898147583,0.7639630435695257
trial_94.csv,val,280,FM,1,20.1092,0.1054,0.9889,126.5876,0.8411,20.1092,0.1054,0.9889,126.5876,0.8411,20.10924530029297,0.10544114030218449,0.9888821666917217,126.58755493164062,0.8411435838921741,FM,1,16.8573,0.2932,0.914,68.9505,0.7555,16.8573,0.2932,0.914,68.9505,0.7555,16.8572998046875,0.2931970604125781,0.9140354783578708,68.95048522949219,0.7555158640496829,IM,1,0.052,0.1861,0.9654,0.181,0.7129,0.052,0.1861,0.9654,0.181,0.7129,0.051964834332466125,0.18614044335926158,0.9653517381764702,0.18102024495601654,0.712933576324061
== MEDIA per-trial ==,MEDIA_val,24,FM,1,28.8679,0.1896,0.9574,92.4953,0.6789,28.8679,0.1896,0.9574,92.4953,0.6789,28.867865403493244,0.1896490683836605,0.9573668342800014,92.4953449567159,0.6788512268586325,FM,1,16.6057,0.3099,0.902,56.7551,0.7018,16.6057,0.3099,0.902,56.7551,0.7018,16.60568058490753,0.30991319145206786,0.9020309554123399,56.7551163037618,0.701823136818592,IM,1,0.0351,0.142,0.9777,0.1352,0.7264,0.0351,0.142,0.9777,0.1352,0.7264,0.03505026875063777,0.14195426026934072,0.9777245867337555,0.1352137280628085,0.726415871052016
== COMPLESSIVO (pooled) ==,POOLED_val,6721,FM,1,31.2873,0.1886,0.9644,95.1426,0.6712,31.2873,0.1886,0.9644,95.1426,0.6712,31.287334442138672,0.1886226235277992,0.9644215082600115,95.1426010131836,0.6711532572269777,FM,1,16.849,0.308,0.9052,57.7232,0.7081,16.849,0.308,0.9052,57.7232,0.7081,16.848995208740234,0.307965280631172,0.9051573927124089,57.72321701049805,0.7081071346789988,IM,1,0.0369,0.1441,0.9792,0.1383,0.7329,0.0369,0.1441,0.9792,0.1383,0.7329,0.03692903369665146,0.1441313590421863,0.9792261558104887,0.13828445971012115,0.7329487798262802
