trial,split,n_finestre,sensor_diff_net,sensor_diff_P,sensor_diff_RMSE_1,sensor_diff_nRMSE_1,sensor_diff_R2_1,sensor_diff_RMSE_persist_1,sensor_diff_skill_rmse_1,sensor_diff_RMSE_avg,sensor_diff_nRMSE_avg,sensor_diff_R2_avg,sensor_diff_RMSE_persist_avg,sensor_diff_skill_rmse_avg,sensor_diff_RMSE_P,sensor_diff_nRMSE_P,sensor_diff_R2_P,sensor_diff_RMSE_persist_P,sensor_diff_skill_rmse_P,current_net,current_P,current_RMSE_1,current_nRMSE_1,current_R2_1,current_RMSE_persist_1,current_skill_rmse_1,current_RMSE_avg,current_nRMSE_avg,current_R2_avg,current_RMSE_persist_avg,current_skill_rmse_avg,current_RMSE_P,current_nRMSE_P,current_R2_P,current_RMSE_persist_P,current_skill_rmse_P,cmd_net,cmd_P,cmd_RMSE_1,cmd_nRMSE_1,cmd_R2_1,cmd_RMSE_persist_1,cmd_skill_rmse_1,cmd_RMSE_avg,cmd_nRMSE_avg,cmd_R2_avg,cmd_RMSE_persist_avg,cmd_skill_rmse_avg,cmd_RMSE_P,cmd_nRMSE_P,cmd_R2_P,cmd_RMSE_persist_P,cmd_skill_rmse_P
trial_4.csv,val,280,FM,1,26.9123,0.2551,0.9349,68.2327,0.6056,26.9123,0.2551,0.9349,68.2327,0.6056,26.912328720092773,0.2551062246897245,0.9349208165778873,68.23273468017578,0.6055803882661641,FM,1,13.0004,0.2971,0.9117,52.8019,0.7538,13.0004,0.2971,0.9117,52.8019,0.7538,13.00035285949707,0.29714421209272707,0.9117053216717425,52.80192565917969,0.7537901753165144,IM,1,0.0209,0.1045,0.9891,0.1263,0.8343,0.0209,0.1045,0.9891,0.1263,0.8343,0.02092292718589306,0.10448944265951988,0.9890819559103601,0.12627412378787994,0.8343055048947305
trial_46.csv,val,280,FM,1,12.6681,0.076,0.9942,88.0784,0.8562,12.6681,0.076,0.9942,88.0784,0.8562,12.668147087097168,0.0760118030200196,0.9942222061950986,88.0783920288086,0.8561719078278168,FM,1,11.2766,0.2401,0.9424,50.3576,0.7761,11.2766,0.2401,0.9424,50.3576,0.7761,11.276564598083496,0.24005222449671668,0.9423749290662847,50.35763168334961,0.7760703944738527,IM,1,0.0213,0.0863,0.9926,0.1265,0.8314,0.0213,0.0863,0.9926,0.1265,0.8314,0.021323146298527718,0.08628749908570252,0.9925544670924636,0.12646494805812836,0.8313908586849951
trial_47.csv,val,280,FM,1,17.5804,0.098,0.9904,107.3145,0.8362,17.5804,0.098,0.9904,107.3145,0.8362,17.58038330078125,0.09802486550963405,0.9903911255138536,107.31449127197266,0.8361788506621498,FM,1,14.1606,0.212,0.9551,72.1153,0.8036,14.1606,0.212,0.9551,72.1153,0.8036,14.160618782043457,0.2119811855711313,0.9550639846973852,72.1152572631836,0.8036390727919824,IM,1,0.0254,0.0901,0.9919,0.1663,0.8474,0.0254,0.0901,0.9919,0.1663,0.8474,0.025373460724949837,0.09006066113857877,0.991889076872787,0.1663149893283844,0.847437318624056
trial_56.csv,val,280,FM,1,39.8364,0.2701,0.9271,114.8065,0.653,39.8364,0.2701,0.9271,114.8065,0.653,39.83637619018555,0.2700572912518219,0.9270690521111931,114.80651092529297,0.6530129182646451,FM,1,11.8254,0.2166,0.9531,57.111,0.7929,11.8254,0.2166,0.9531,57.111,0.7929,11.825418472290039,0.2166267136952646,0.9530728728860394,57.11104965209961,0.7929399206576254,IM,1,0.0446,0.1866,0.9652,0.1496,0.702,0.0446,0.1866,0.9652,0.1496,0.702,0.044588882476091385,0.18659977020418153,0.9651805294959239,0.14963558316230774,0.7020168496438015
trial_57.csv,val,280,FM,1,39.1842,0.2089,0.9564,124.3059,0.6848,39.1842,0.2089,0.9564,124.3059,0.6848,39.18415451049805,0.20892457051429592,0.9563505217237948,124.30585479736328,0.6847762756277735,FM,1,12.9477,0.2194,0.9519,62.5465,0.793,12.9477,0.2194,0.9519,62.5465,0.793,12.947662353515625,0.2194137570919218,0.9518576088324946,62.54652404785156,0.792991496320244,IM,1,0.0189,0.067,0.9955,0.1479,0.8723,0.0189,0.067,0.9955,0.1479,0.8723,0.018887542188167572,0.0670374599500943,0.9955059782335864,0.14786723256111145,0.872266885225152
trial_70.csv,val,280,FM,1,14.886,0.1195,0.9857,67.9911,0.7811,14.886,0.1195,0.9857,67.9911,0.7811,14.885953903198242,0.1195318631069692,0.9857121337024067,67.99113464355469,0.7810603693961242,FM,1,9.9779,0.2427,0.9411,39.197,0.7454,9.9779,0.2427,0.9411,39.197,0.7454,9.977934837341309,0.2427303773617823,0.9410819706389426,39.19700241088867,0.7454413801150901,IM,1,0.0128,0.0632,0.996,0.101,0.8729,0.0128,0.0632,0.996,0.101,0.8729,0.012838349677622318,0.06319014179233486,0.996007005956737,0.10097424685955048,0.8728552073730271
trial_72.csv,val,280,FM,1,27.3407,0.1874,0.9649,87.1045,0.6861,27.3407,0.1874,0.9649,87.1045,0.6861,27.34073829650879,0.1874147414793254,0.9648757153504961,87.10447692871094,0.686115579123616,FM,1,11.6086,0.2632,0.9307,50.7102,0.7711,11.6086,0.2632,0.9307,50.7102,0.7711,11.608565330505371,0.2631831312170109,0.930734639576982,50.71024703979492,0.7710804815958492,IM,1,0.0304,0.1349,0.9818,0.1325,0.7703,0.0304,0.1349,0.9818,0.1325,0.7703,0.030430352315306664,0.13487302832507037,0.9818092667774931,0.13248299062252045,0.7703074774179057
trial_79.csv,val,280,FM,1,17.0111,0.0938,0.9912,65.7764,0.7414,17.0111,0.0938,0.9912,65.7764,0.7414,17.01106834411621,0.09376742362454454,0.9912076694922611,65.77635192871094,0.7413801792693979,FM,1,13.9724,0.2261,0.9489,55.2606,0.7472,13.9724,0.2261,0.9489,55.2606,0.7472,13.97236442565918,0.22613214040724722,0.9488642569053564,55.26063919067383,0.7471552151713574,IM,1,0.0624,0.2315,0.9464,0.1001,0.3767,0.0624,0.2315,0.9464,0.1001,0.3767,0.06238486245274544,0.23146975467920758,0.9464217574343172,0.10008244961500168,0.37666531252254265
trial_83.csv,val,280,FM,1,14.1157,0.1096,0.988,77.2834,0.8174,14.1157,0.1096,0.988,77.2834,0.8174,14.115657806396484,0.10963832110927343,0.9879794383446528,77.28337860107422,0.8173519576666091,FM,1,12.6214,0.2481,0.9384,55.647,0.7732,12.6214,0.2481,0.9384,55.647,0.7732,12.621438980102539,0.24810981898280535,0.9384415120086395,55.64697265625,0.7731873203944193,IM,1,0.0312,0.1441,0.9792,0.1296,0.759,0.0312,0.1441,0.9792,0.1296,0.759,0.031236451119184494,0.1440624090479409,0.9792460217213306,0.12961497902870178,0.7590058544678888
trial_85.csv,val,280,FM,1,16.6397,0.0944,0.9911,111.9094,0.8513,16.6397,0.0944,0.9911,111.9094,0.8513,16.63974380493164,0.09440776069149451,0.9910871729472784,111.90938568115234,0.8513105607393743,FM,1,13.6236,0.2213,0.951,69.484,0.8039,13.6236,0.2213,0.951,69.484,0.8039,13.623588562011719,0.22134512140959106,0.9510063349599,69.48402404785156,0.8039320728944892,IM,1,0.0171,0.0621,0.9961,0.1799,0.9049,0.0171,0.0621,0.9961,0.1799,0.9049,0.017102012410759926,0.062053910175606,0.9961493121697659,0.17989395558834076,0.9049328124737264
trial_89.csv,val,280,FM,1,38.8109,0.2494,0.9378,89.9917,0.5687,38.8109,0.2494,0.9378,89.9917,0.5687,38.81092834472656,0.24939274867447966,0.9378032613270405,89.99170684814453,0.5687277227643031,FM,1,10.8304,0.2166,0.9531,45.6468,0.7627,10.8304,0.2166,0.9531,45.6468,0.7627,10.83043098449707,0.21663351059470792,0.9530699231680566,45.646846771240234,0.762734301478174,IM,1,0.0153,0.0645,0.9958,0.1037,0.8522,0.0153,0.0645,0.9958,0.1037,0.8522,0.015330750495195389,0.06446252514236427,0.9958445833071885,0.10371940582990646,0.8521901434690352
trial_90.csv,val,280,FM,1,42.3996,0.2165,0.9531,125.17,0.6613,42.3996,0.2165,0.9531,125.17,0.6613,42.399566650390625,0.2165056138628519,0.9531253230207569,125.16999816894531,0.6612641426009866,FM,1,13.9621,0.2388,0.943,63.3104,0.7795,13.9621,0.2388,0.943,63.3104,0.7795,13.962122917175293,0.23880603661253444,0.9429716792934075,63.310386657714844,0.7794655244697688,IM,1,0.0175,0.0596,0.9964,0.1537,0.8862,0.0175,0.0596,0.9964,0.1537,0.8862,0.01748986914753914,0.059582575093648775,0.996449916412599,0.15369683504104614,0.8862054046664767
trial_93.csv,val,280,FM,1,21.426,0.1421,0.9798,102.2499,0.7905,21.426,0.1421,0.9798,102.2499,0.7905,21.426044464111328,0.14211812573902977,0.9798024355990214,102.2499008178711,0.7904541296105931,FM,1,15.5139,0.2977,0.9114,61.0331,0.7458,15.5139,0.2977,0.9114,61.0331,0.7458,15.5138578414917,0.29768838053672503,0.9113816223661966,61.03311538696289,0.7458124537289216,IM,1,0.0343,0.1459,0.9787,0.1562,0.7803,0.0343,0.1459,0.9787,0.1562,0.7803,0.03431343287229538,0.14591033765173203,0.9787101756793026,0.156174898147583,0.7802884248410414
trial_94.csv,val,280,FM,1,17.4381,0.0914,0.9916,126.5876,0.8622,17.4381,0.0914,0.9916,126.5876,0.8622,17.43805694580078,0.09143498831320514,0.9916396431384594,126.58755493164062,0.8622450922982309,FM,1,14.1438,0.246,0.9395,68.9505,0.7949,14.1438,0.246,0.9395,68.9505,0.7949,14.14380168914795,0.24600150239740667,0.939483258335466,68.95048522949219,0.7948701645525444,IM,1,0.048,0.1718,0.9705,0.181,0.7351,0.048,0.1718,0.9705,0.181,0.7351,0.047961026430130005,0.17179861801449112,0.9704852358508954,0.18102024495601654,0.735051588059759
== MEDIA per-trial ==,MEDIA_val,24,FM,1,25.274,0.1667,0.9668,92.4953,0.7205,25.274,0.1667,0.9668,92.4953,0.7205,25.27396325270335,0.1666909125070983,0.9667792024997413,92.4953449567159,0.7205236435594964,FM,1,13.8875,0.2599,0.9311,56.7551,0.7507,13.8875,0.2599,0.9311,56.7551,0.7507,13.887497663497925,0.2598643432550493,0.931137072892211,56.7551163037618,0.7506881193956234,IM,1,0.0304,0.1229,0.9826,0.1352,0.7617,0.0304,0.1229,0.9826,0.1352,0.7617,0.030365787407693762,0.12290995241741286,0.9826152840943477,0.1352137280628085,0.7617149773063008
== COMPLESSIVO (pooled) ==,POOLED_val,6721,FM,1,27.4038,0.1652,0.9727,95.1426,0.712,27.4038,0.1652,0.9727,95.1426,0.712,27.403751373291016,0.16520958306924255,0.972705797820288,95.1426010131836,0.7119718077762687,FM,1,14.0561,0.2569,0.934,57.7232,0.7565,14.0561,0.2569,0.934,57.7232,0.7565,14.056089401245117,0.25691665665533475,0.9339938344852872,57.72321701049805,0.7564915794854477,IM,1,0.0327,0.1276,0.9837,0.1383,0.7635,0.0327,0.1276,0.9837,0.1383,0.7635,0.03269970789551735,0.12762460501886302,0.983711961329578,0.13828445971012115,0.7635330248672618
