trial,split,n_finestre,sensor_diff_RMSE_avg,sensor_diff_nRMSE_1,current_nRMSE_P,sensor_diff_skill_rmse_P,cmd_RMSE_persist_P,sensor_diff_RMSE_persist_1,sensor_diff_P,current_skill_rmse_1,current_RMSE_persist_1,current_RMSE_persist_P,current_R2_avg,cmd_RMSE_persist_avg,sensor_diff_skill_rmse_1,current_R2_P,sensor_diff_RMSE_P,sensor_diff_RMSE_persist_P,current_RMSE_1,sensor_diff_R2_avg,sensor_diff_skill_rmse_avg,cmd_nRMSE_avg,sensor_diff_RMSE_persist_avg,sensor_diff_nRMSE_P,current_nRMSE_avg,current_R2_1,sensor_diff_nRMSE_avg,sensor_diff_R2_1,cmd_RMSE_avg,sensor_diff_RMSE_1,current_RMSE_P,current_nRMSE_1,current_P,cmd_RMSE_P,cmd_skill_rmse_1,sensor_diff_R2_P,current_skill_rmse_avg,cmd_R2_1,cmd_skill_rmse_avg,cmd_nRMSE_1,cmd_skill_rmse_P,cmd_RMSE_persist_1,cmd_nRMSE_P,current_RMSE_avg,current_skill_rmse_P,cmd_R2_P,cmd_R2_avg,cmd_RMSE_1,current_RMSE_persist_avg,cmd_P,sensor_diff_net,current_net,cmd_net
== MEDIA per-trial ==,MEDIA_val_CL10,24,56.1195,0.2248,0.7400408573073648,0.5229589189450318,0.2987428139895201,91.7828,10,0.6718,56.5059,73.45794423421223,0.6722,0.3132,0.6129,0.44168583043995674,86.11936124165852,185.9082129796346,18.1979,0.8427,0.6861,0.3939,194.928,0.5648376445991897,0.5514,0.881,0.3681,0.9442,0.0967,34.449,39.674251635869346,0.3422,10,0.1513531884799401,0.7441,0.6672547922418639,0.6018,0.9808,0.6746,0.1313,0.485100609465889,0.1341,0.6137212914188374,29.3632,0.45304495696722186,0.6082744282092941,0.8107,0.0322,74.9156,10,FM,FM,IM
== COMPLESSIVO (pooled) ==,POOLED_val_CL10,6505,57.6124,0.2188,0.7347519563330579,0.5401834009058896,0.30350518226623535,94.6106,10,0.6791,57.5121,74.5327377319336,0.686,0.3198,0.6169,0.4601395390368842,87.42717742919922,190.1348876953125,18.4528,0.8686,0.7024,0.3875,200.894,0.5243920866377674,0.547,0.885,0.3469,0.9521,0.0992,36.2448,40.23763656616211,0.3391,10,0.1537247598171234,0.7515,0.7250129371738274,0.6062,0.9821,0.6885,0.1337,0.49350202632693185,0.1373,0.599992229868409,29.8515,0.4601347301788128,0.6400093564763905,0.8277,0.0341,75.9202,10,FM,FM,IM
