trial,split,n_finestre,cmd_RMSE_P,sensor_diff_skill_rmse_avg,current_RMSE_avg,sensor_diff_nRMSE_P,current_RMSE_persist_P,cmd_RMSE_persist_avg,current_R2_P,sensor_diff_R2_1,current_nRMSE_1,sensor_diff_RMSE_persist_P,current_nRMSE_avg,sensor_diff_P,sensor_diff_RMSE_persist_avg,sensor_diff_skill_rmse_P,sensor_diff_R2_P,current_skill_rmse_avg,sensor_diff_skill_rmse_1,current_RMSE_persist_1,cmd_R2_P,cmd_skill_rmse_P,current_RMSE_P,sensor_diff_RMSE_avg,cmd_RMSE_persist_1,current_skill_rmse_P,current_RMSE_1,sensor_diff_RMSE_P,current_R2_1,cmd_skill_rmse_avg,current_skill_rmse_1,cmd_nRMSE_P,cmd_R2_1,current_P,sensor_diff_R2_avg,cmd_nRMSE_1,cmd_RMSE_persist_P,cmd_nRMSE_avg,sensor_diff_RMSE_persist_1,cmd_RMSE_1,cmd_skill_rmse_1,cmd_RMSE_avg,sensor_diff_RMSE_1,sensor_diff_nRMSE_avg,current_R2_avg,cmd_P,cmd_R2_avg,current_RMSE_persist_avg,current_nRMSE_P,sensor_diff_nRMSE_1,sensor_diff_net,current_net,cmd_net
== MEDIA per-trial ==,MEDIA_val_CL10,24,0.13016130961477757,0.7335,25.2011,0.4822206421757373,73.45794423421223,0.3132,0.585632224693165,0.9578,0.3125,185.9082129796346,0.4736,1,194.928,0.5926497233102647,0.755383816140473,0.6573,0.6769,56.5059,0.7124259473194473,0.5553460938010527,34.031239906946816,47.5848,0.1341,0.5295363429801063,16.6172,73.59213956197102,0.9003,0.7121,0.6998,0.5277963335493209,0.9774,1,0.8827,0.143,0.2987428139895201,0.3438,91.7828,0.0351,0.7229,0.0845,28.7156,0.3129,0.7594,1,0.8593,74.9156,0.637064709872917,0.189,FM,FM,IM
== COMPLESSIVO (pooled) ==,POOLED_val_CL10,6505,0.13177524507045746,0.7439,25.6342,0.4509038709424698,74.5327377319336,0.3198,0.6049582173301636,0.9647,0.3102,190.1348876953125,0.4698,1,200.894,0.6046220190230389,0.7966856765841047,0.6613,0.6711,57.5121,0.7354722515654338,0.5658220921089119,34.42018508911133,49.6248,0.1373,0.5381870284584491,16.8773,75.1751480102539,0.9038,0.7236,0.7065,0.5143226323809998,0.979,1,0.9025,0.145,0.30350518226623535,0.3394,94.6106,0.037,0.7304,0.0869,31.1183,0.2988,0.7702,1,0.8712,75.9202,0.6285234544028465,0.1878,FM,FM,IM
