trial,split,n_finestre,cmd_skill_rmse_1,current_RMSE_persist_avg,current_RMSE_P,cmd_RMSE_P,sensor_diff_skill_rmse_P,current_skill_rmse_P,cmd_RMSE_1,cmd_R2_avg,sensor_diff_RMSE_persist_avg,current_skill_rmse_avg,cmd_R2_P,cmd_nRMSE_avg,cmd_P,sensor_diff_nRMSE_1,current_R2_1,cmd_R2_1,current_nRMSE_P,cmd_nRMSE_1,sensor_diff_R2_P,sensor_diff_RMSE_avg,current_RMSE_persist_1,cmd_RMSE_persist_avg,cmd_skill_rmse_P,sensor_diff_RMSE_persist_1,cmd_skill_rmse_avg,cmd_RMSE_avg,sensor_diff_RMSE_persist_P,sensor_diff_skill_rmse_avg,sensor_diff_R2_1,cmd_RMSE_persist_1,current_nRMSE_1,current_R2_P,sensor_diff_P,current_nRMSE_avg,sensor_diff_RMSE_P,sensor_diff_nRMSE_P,sensor_diff_skill_rmse_1,current_RMSE_avg,cmd_nRMSE_P,sensor_diff_RMSE_1,sensor_diff_R2_avg,current_RMSE_1,sensor_diff_nRMSE_avg,current_RMSE_persist_P,current_P,cmd_RMSE_persist_P,current_R2_avg,current_skill_rmse_1,sensor_diff_net,current_net,cmd_net
== MEDIA per-trial ==,MEDIA_val_CL10,24,0.7465,74.9156,34.96822794278463,0.13130682768921056,0.5954457736995912,0.5177099993806823,0.0321,0.8613,194.928,0.6629,0.708475245429046,0.3398,1,0.1784,0.9279,0.9809,0.653350711090732,0.1305,0.7599830565183939,46.7349,56.5059,0.3132,0.5515398035716798,91.7828,0.7167,0.0836,185.9082129796346,0.7406,0.9615,0.1341,0.266,0.565682119591238,1,0.4675,73.28417762120564,0.47906544734917905,0.6973,24.9288,0.5321034107084067,27.2035,0.8873,14.1419,0.306,73.45794423421223,1,0.2987428139895201,0.7627,0.7456,FM,FM,IM
== COMPLESSIVO (pooled) ==,POOLED_val_CL10,6505,0.7513,75.9202,35.366905212402344,0.13283468782901764,0.6065745208126683,0.525484957501442,0.0342,0.8729,200.894,0.6661,0.7312016618680064,0.3354,1,0.1803,0.9304,0.9821,0.6458108629598619,0.1338,0.798688792655508,48.8431,57.5121,0.3198,0.5623314012724343,94.6106,0.7279,0.0858,190.1348876953125,0.7484,0.9675,0.1373,0.2637,0.5829282940227095,1,0.4645,74.80390930175781,0.4486771647086259,0.6843,25.3485,0.5184576684277802,29.8668,0.9049,14.3503,0.2941,74.5327377319336,1,0.30350518226623535,0.7718,0.7505,FM,FM,IM
