trial,split,n_finestre,sensor_diff_RMSE_1,cmd_R2_1,sensor_diff_nRMSE_P,cmd_skill_rmse_1,cmd_R2_P,current_RMSE_persist_P,current_RMSE_avg,cmd_skill_rmse_P,cmd_P,sensor_diff_RMSE_persist_P,current_P,sensor_diff_RMSE_avg,cmd_RMSE_persist_1,current_RMSE_P,current_RMSE_persist_1,current_R2_avg,current_R2_1,cmd_RMSE_avg,cmd_RMSE_persist_P,cmd_nRMSE_avg,current_nRMSE_avg,sensor_diff_RMSE_persist_avg,sensor_diff_skill_rmse_avg,sensor_diff_RMSE_persist_1,cmd_RMSE_P,sensor_diff_R2_1,sensor_diff_skill_rmse_P,current_R2_P,current_nRMSE_1,sensor_diff_nRMSE_1,current_RMSE_persist_avg,sensor_diff_skill_rmse_1,current_nRMSE_P,sensor_diff_R2_P,cmd_RMSE_persist_avg,current_skill_rmse_P,current_skill_rmse_1,sensor_diff_RMSE_P,cmd_nRMSE_P,cmd_RMSE_1,sensor_diff_P,current_skill_rmse_avg,cmd_nRMSE_1,cmd_skill_rmse_avg,sensor_diff_R2_avg,current_RMSE_1,cmd_R2_avg,sensor_diff_nRMSE_avg,sensor_diff_net,current_net,cmd_net
== MEDIA per-trial ==,MEDIA_val_CL10,24,25.1236,0.9824,0.5459734085678646,0.7587,0.6153700607427669,73.45794423421223,28.2651,0.4910241167505431,1,185.9082129796346,1,50.2422,0.1341,40.867479960123696,56.5059,0.6821,0.9298,0.094,0.2987428139895201,0.3817,0.5289,194.928,0.7228,91.7828,0.1504111299291253,0.9671,0.540474284830664,0.40977330850733035,0.2624,0.1661,74.9156,0.7189,0.7580013233312988,0.6870983614952015,0.3132,0.4423572693249163,0.7488,83.53512875239055,0.6077344254255039,0.0304,1,0.6197,0.1238,0.6847,0.8651,13.9077,0.8196,0.3297,FM,FM,IM
== COMPLESSIVO (pooled) ==,POOLED_val_CL10,6505,27.2436,0.9835,0.5128017647078205,0.7613,0.6411793090943994,74.5327377319336,29.0658,0.4943257248861541,1,190.1348876953125,1,52.4321,0.1373,41.85916519165039,57.5121,0.6897,0.933,0.0971,0.30350518226623535,0.3794,0.5325,200.894,0.7323,94.6106,0.15347476303577423,0.973,0.5503464497924672,0.4157513278875191,0.2588,0.1644,75.9202,0.712,0.7643615813384564,0.7370343325338596,0.3198,0.4383788055364052,0.7552,85.49482727050781,0.5990164851251416,0.0328,1,0.6179,0.1284,0.695,0.8868,14.0817,0.8333,0.3157,FM,FM,IM
