trial,split,n_finestre,current_P,current_RMSE_1,sensor_diff_P,sensor_diff_RMSE_avg,sensor_diff_R2_avg,current_nRMSE_P,cmd_RMSE_persist_avg,sensor_diff_nRMSE_1,current_R2_avg,cmd_nRMSE_P,cmd_RMSE_persist_P,cmd_RMSE_persist_1,sensor_diff_R2_1,cmd_R2_1,cmd_R2_P,sensor_diff_skill_rmse_1,cmd_skill_rmse_avg,current_R2_P,sensor_diff_RMSE_persist_P,sensor_diff_RMSE_P,sensor_diff_nRMSE_P,current_RMSE_persist_1,current_R2_1,cmd_skill_rmse_1,cmd_R2_avg,current_RMSE_P,sensor_diff_skill_rmse_P,cmd_nRMSE_1,cmd_RMSE_1,cmd_P,current_skill_rmse_1,current_RMSE_avg,sensor_diff_RMSE_1,sensor_diff_R2_P,sensor_diff_skill_rmse_avg,cmd_nRMSE_avg,sensor_diff_RMSE_persist_1,cmd_skill_rmse_P,sensor_diff_RMSE_persist_avg,cmd_RMSE_P,current_RMSE_persist_avg,current_nRMSE_1,current_skill_rmse_P,cmd_RMSE_avg,current_skill_rmse_avg,current_nRMSE_avg,current_RMSE_persist_P,sensor_diff_nRMSE_avg,sensor_diff_net,current_net,cmd_net
== MEDIA per-trial ==,MEDIA_val_CL10,24,10,20.1153,10,53.4672,0.8621,0.652910672369453,0.3132,0.2427,0.7161,0.5397499217222567,0.2987428139895201,0.1341,0.9371,0.9765,0.6996671307022151,0.5824,0.6967,0.5675693220671625,185.9082129796346,77.20236921310425,0.5045805252397969,56.5059,0.8545,0.7142,0.8455,34.944472233454384,0.5726109791412036,0.1475,0.0363,10,0.6366,27.8034,37.1335,0.7355528521359517,0.699,0.3637,91.7828,0.5448240115346152,194.928,0.13327744230628014,74.9156,0.3785,0.5180990465019963,0.0895,0.6221,0.5219,73.45794423421223,0.3502,FM,FM,IM
== COMPLESSIVO (pooled) ==,POOLED_val_CL10,6505,10,20.3755,10,54.8333,0.884,0.6443704139192558,0.3198,0.2317,0.7274,0.5271944136941358,0.30350518226623535,0.1373,0.9463,0.978,0.7220660725032584,0.5943,0.7097,0.5847867368202851,190.1348876953125,78.48384094238281,0.47074955785290223,57.5121,0.8598,0.7244,0.858,35.288021087646484,0.5872201998606817,0.1483,0.0378,10,0.6457,28.1448,38.386,0.7783948400675069,0.7146,0.3577,94.6106,0.5549560661370487,200.894,0.13507314026355743,75.9202,0.3745,0.5265433397259026,0.0915,0.6275,0.5158,74.5327377319336,0.3302,FM,FM,IM
