trial,split,n_finestre,sensor_diff_RMSE_P,cmd_R2_avg,current_nRMSE_avg,current_R2_1,cmd_nRMSE_P,current_RMSE_avg,sensor_diff_R2_P,current_RMSE_persist_1,cmd_R2_P,sensor_diff_skill_rmse_P,sensor_diff_nRMSE_avg,sensor_diff_RMSE_1,sensor_diff_RMSE_persist_P,cmd_RMSE_avg,current_RMSE_persist_avg,sensor_diff_nRMSE_P,sensor_diff_skill_rmse_avg,current_RMSE_P,sensor_diff_R2_1,current_nRMSE_1,cmd_skill_rmse_P,sensor_diff_nRMSE_1,current_nRMSE_P,current_R2_P,sensor_diff_RMSE_persist_avg,cmd_skill_rmse_1,current_P,cmd_RMSE_persist_P,sensor_diff_P,sensor_diff_R2_avg,sensor_diff_RMSE_avg,current_skill_rmse_avg,cmd_RMSE_persist_avg,cmd_nRMSE_1,cmd_P,current_R2_avg,cmd_RMSE_persist_1,current_skill_rmse_1,cmd_RMSE_1,sensor_diff_skill_rmse_1,current_RMSE_persist_P,cmd_R2_1,cmd_nRMSE_avg,current_skill_rmse_P,cmd_skill_rmse_avg,current_RMSE_1,cmd_RMSE_P,sensor_diff_RMSE_persist_1,sensor_diff_net,current_net,cmd_net
== MEDIA per-trial ==,MEDIA_val_CL10,24,76.49984661738078,0.8497,0.5356,0.8199,0.531152884846529,28.5429,0.7395116063466919,56.5059,0.7095357212846988,0.5768616029480557,0.3571,41.5677,185.9082129796346,0.0886,74.9156,0.5004531237341981,0.6899,34.800893783569336,0.9209,0.4201,0.5526482180208873,0.2736,0.6506540251959694,0.5697147479763718,194.928,0.6871,10,0.2987428139895201,10,0.8584,54.3932,0.6113,0.3132,0.162,10,0.703,0.1341,0.5968,0.0397,0.5246,73.45794423421223,0.9717,0.36,0.519562669486576,0.6977,22.3737,0.1311016616721948,91.7828,FM,FM,IM
== COMPLESSIVO (pooled) ==,POOLED_val_CL10,6505,77.76386260986328,0.8618,0.5299,0.825,0.5178752575164682,28.9128,0.7824420428770859,57.5121,0.7318052017634943,0.591006871214091,0.3357,42.4849,190.1348876953125,0.0907,75.9202,0.4664310958914641,0.7077,35.14441680908203,0.9342,0.4183,0.5628230575501987,0.2564,0.6417481544224899,0.588159265103154,200.894,0.699,10,0.30350518226623535,10,0.8816,55.7467,0.6166,0.3198,0.1619,10,0.7145,0.1373,0.6042,0.0413,0.551,74.5327377319336,0.9738,0.3544,0.5284700672678446,0.7105,22.761,0.13268546760082245,94.6106,FM,FM,IM
