Device: cuda | threads: 4
Tuning della SOLA FM (IM fissa). Metrica: val loss di FM.
=== FASE 3 | 13 trial (questo worker) | 30 epoche ===

Caricamento dataset...
Trovati 55 trial.
Dataset grezzo: 55 trial letti. Scaler e finestre costruiti in split_by_trial() (fit solo su train).
Normalizzatore caricato da /home/gemma/tesi/aquabot/src/net/Estimator/tuning/../../../../src/net/scaler/scalers_joint.pkl (nessun refit).
Dataset: 41225 campioni da 55 trial. H=20 P=1 | seq_cmd=(20, 1) seq_sens=(20, 2)
ctx_dim: 4
Best arch: gru=512, mlp=256
Best training: lr=4.91e-04, batch=32, wd=1.58e-05, dropout=0.09 (val 0.0542)

[I 2026-09-14 15:48:52,361] Using an existing study with name 'fish_fm_phase3' instead of creating a new one.
  Trial 13 | Epoch 15 | val_FM 0.0602
  Trial 13 | Epoch 16 | val_FM 0.0649
  Trial 13 | Epoch 17 | val_FM 0.0577
  Trial 13 | Epoch 18 | val_FM 0.0607
  Trial 13 | Epoch 19 | val_FM 0.0568
  Trial 13 | Epoch 20 | val_FM 0.0547
  Trial 13 | Epoch 21 | val_FM 0.0570
  Trial 13 | Epoch 22 | val_FM 0.0608
  Trial 13 | Epoch 23 | val_FM 0.0534
  Trial 13 | Epoch 24 | val_FM 0.0560
  Trial 13 | Epoch 25 | val_FM 0.0554
  Trial 13 | Epoch 26 | val_FM 0.0559
  Trial 13 | Epoch 27 | val_FM 0.0540
  Trial 13 | Epoch 28 | val_FM 0.0551
  Trial 13 | Epoch 29 | val_FM 0.0656
[I 2026-09-14 16:03:55,666] Trial 13 finished with value: 0.05342354306676349 and parameters: {'gru_hidden': 256, 'mlp_hidden': 128, 'lr': 0.0024502611273150956, 'batch_size': 32, 'weight_decay': 1.1451699089654373e-05, 'dropout': 0.0010622968116527493}. Best is trial 3 with value: 0.0518780355066916.
  Trial 18 | Epoch  0 | val_FM 0.1290
  Trial 18 | Epoch  1 | val_FM 0.1015
  Trial 18 | Epoch  2 | val_FM 0.0872
  Trial 18 | Epoch  3 | val_FM 0.0868
  Trial 18 | Epoch  4 | val_FM 0.0864
  Trial 18 | Epoch  5 | val_FM 0.0844
  Trial 18 | Epoch  6 | val_FM 0.0726
  Trial 18 | Epoch  7 | val_FM 0.0712
  Trial 18 | Epoch  8 | val_FM 0.0658
  Trial 18 | Epoch  9 | val_FM 0.0689
  Trial 18 | Epoch 10 | val_FM 0.0643
