mode,t_ros_sec,t_rel_sec,tail_target_rad,center_rad,tail_amp_rad,tail_freq_hz,phase_rad,real_position_rad,present_current_ma,sensor_values
std,1789044128.490305,0.012621956,0.9278418063131952,0.903,0.4,0.8,0.06214450778502814,0.516951525517461,2.69,"[622.2000122070312, 462.0]"
std,1789044128.5393233,0.061640162000000005,1.0247410973726834,0.903,0.4,0.8,0.3092588633680109,0.5399612373357456,32.28,"[616.2000122070312, 426.0]"
std,1789044128.58928,0.11159685500000001,1.1156509828311927,0.903,0.4,0.8,0.560520895342162,0.6366020269725411,32.28,"[616.2000122070312, 426.0]"
std,1789044128.6393697,0.161686774,1.1933160872529922,0.903,0.4,0.8,0.8121824122381436,0.7577865092155067,78.01,"[602.2000122070312, 521.0]"
std,1789044128.690893,0.213209951,1.2540592054638722,0.903,0.4,0.8,1.0709328650985492,0.9019807032767571,129.12,"[602.2000122070312, 521.0]"
std,1789044128.7392805,0.261597464,1.2899352955432741,0.903,0.4,0.8,1.3145108429287213,1.026233147095494,8.07,"[535.5999755859375, 588.7999877929688]"
std,1789044128.7892878,0.311604675,1.3029951507523743,0.903,0.4,0.8,1.565872274894432,1.1198059751565181,56.49,"[535.5999755859375, 588.7999877929688]"
std,1789044128.8393333,0.36165015500000003,1.2909141325856515,0.903,0.4,0.8,1.8172433226469369,1.1903690913992575,153.32999999999998,"[483.20001220703125, 614.7999877929688]"
std,1789044128.889388,0.41170520200000005,1.2543992378472504,0.903,0.4,0.8,2.068883330942975,1.2425244381873692,88.77,"[483.20001220703125, 614.7999877929688]"
std,1789044128.939396,0.461713001,1.1958354790712369,0.903,0.4,0.8,2.320209572044417,1.2732040539450822,131.81,"[424.3999938964844, 657.0]"
std,1789044128.9894323,0.511749345,1.118798625325126,0.903,0.4,0.8,2.5717535732689614,1.2778059963087391,29.59,"[424.3999938964844, 657.0]"
std,1789044129.0395155,0.561832383,1.028099999447044,0.903,0.4,0.8,2.8235057590421997,1.265534150005654,-2.69,"[421.79998779296875, 657.5999755859375]"
std,1789044129.0894713,0.611788436,0.9298130413181954,0.903,0.4,0.8,3.074509748135607,1.227184630308513,-2.69,"[421.79998779296875, 657.5999755859375]"
std,1789044129.1392715,0.6615886160000001,0.8300054724411691,0.903,0.4,0.8,3.325107295564412,1.158155494853659,-2.69,"[439.20001220703125, 639.2000122070312]"
std,1789044129.1892538,0.7115708540000001,0.7345615769936913,0.903,0.4,0.8,3.5762460564693845,1.0829904362472627,-40.35,"[439.20001220703125, 639.2000122070312]"
std,1789044129.2392607,0.761577681,0.6495823793987304,0.903,0.4,0.8,3.827717936779699,0.9986214929135524,-145.26,"[501.20001220703125, 604.2000122070312]"
std,1789044129.2892785,0.8115955170000001,0.580557733126317,0.903,0.4,0.8,4.07913415309474,0.9065826456404139,-61.87,"[501.20001220703125, 604.2000122070312]"
std,1789044129.3394217,0.861738746,0.531747053191427,0.903,0.4,0.8,4.330956554720423,0.7992039904884191,-2.69,"[541.7999877929688, 546.2000122070312]"
std,1789044129.3894415,0.911758339,0.5063776110815594,0.903,0.4,0.8,4.582343310436196,0.7117670855789375,-21.52,"[541.7999877929688, 546.2000122070312]"
std,1789044129.439388,0.9617050640000001,0.5059271516544799,0.903,0.4,0.8,4.833441215557027,0.6366020269725411,-51.11,"[593.4000244140625, 519.2000122070312]"
std,1789044129.4895048,1.011821958,0.5304718449523018,0.903,0.4,0.8,5.085163669297391,0.5752427954571154,-80.7,"[593.4000244140625, 519.2000122070312]"
std,1789044129.5394223,1.061739243,0.5783530278491248,0.903,0.4,0.8,5.336269817957345,0.5276893910326605,-80.7,"[608.7999877929688, 454.0]"
std,1789044129.589394,1.11171106,0.6466588332604295,0.903,0.4,0.8,5.587576500759563,0.516951525517461,-83.39,"[608.7999877929688, 454.0]"
std,1789044129.6393106,1.161627577,0.7309080112656249,0.903,0.4,0.8,5.838437791174822,0.521553467881118,2.69,"[613.2000122070312, 422.79998779296875]"
std,1789044129.6893823,1.211699165,0.8262505811575733,0.903,0.4,0.8,6.090114498299602,0.5491651220630596,2.69,"[613.2000122070312, 422.79998779296875]"
std,1789044129.7393835,1.2617004820000002,0.9262720260833458,0.903,0.4,0.8,0.058212937782588625,0.5982525072754,5.38,"[603.5999755859375, 470.0]"
std,1789044129.7893758,1.3116928440000002,1.0248462793158535,0.903,0.4,0.8,0.3095349264242149,0.6611457195787114,51.11,"[603.5999755859375, 470.0]"
std,1789044129.8393993,1.361716186,1.1157944084311464,0.903,0.4,0.8,0.5609442965805451,0.7409127205487647,110.28999999999999,"[606.7999877929688, 536.2000122070312]"
std,1789044129.8894298,1.4117468240000002,1.1933564869494875,0.903,0.4,0.8,0.812329242738949,0.842155452549217,2.69,"[606.7999877929688, 536.2000122070312]"
std,1789044129.939323,1.4616400820000002,1.252582194857609,0.903,0.4,0.8,1.0632824687216225,0.9633399347921826,2.69,"[537.5999755859375, 591.4000244140625]"
std,1789044129.9892318,1.511548751,1.2899087478492426,0.903,0.4,0.8,1.31424915077395,1.047708878125893,13.45,"[537.5999755859375, 591.4000244140625]"
std,1789044130.0392737,1.5615909110000001,1.302995020130368,0.903,0.4,0.8,1.5658063969531222,1.1259418983080607,80.7,"[525.5999755859375, 603.7999877929688]"
std,1789044130.089318,1.611634881,1.2909140531228394,0.903,0.4,0.8,1.8172441369477514,1.191903072187143,118.36,"[525.5999755859375, 603.7999877929688]"
std,1789044130.1393325,1.6616494130000001,1.2544462631901365,0.903,0.4,0.8,2.0686371959550236,1.239456476611598,123.74,"[457.20001220703125, 651.0]"
std,1789044130.189295,1.711611983,1.1959268992204493,0.903,0.4,0.8,2.319874004710078,1.2701360923693108,137.19,"[457.20001220703125, 651.0]"
std,1789044130.239477,1.761793858,1.1187189794018515,0.903,0.4,0.8,2.571990037178084,1.2762720155208536,43.04,"[433.20001220703125, 658.2000122070312]"
std,1789044130.2893429,1.811659906,1.0283977093899819,0.903,0.4,0.8,2.822722074931752,1.2640001692177683,-2.69,"[433.20001220703125, 658.2000122070312]"
std,1789044130.3392744,1.861591392,0.9301115891655228,0.903,0.4,0.8,3.0737616771194816,1.217980745581199,-2.69,"[426.3999938964844, 647.7999877929688]"
std,1789044130.3892276,1.9115446470000002,0.8301010141531768,0.903,0.4,0.8,3.324864367514243,1.158155494853659,-32.28,"[426.3999938964844, 647.7999877929688]"
std,1789044130.4392514,1.9615682600000002,0.7345259233528649,0.903,0.4,0.8,3.576344330514136,1.0845244170351482,-26.9,"[487.6000061035156, 627.5999755859375]"
std,1789044130.489303,2.0116201300000003,0.649547776005611,0.903,0.4,0.8,3.8278297523454246,1.000155473701438,-134.5,"[487.6000061035156, 627.5999755859375]"
std,1789044130.5393083,2.0616252960000003,0.5805516829590901,0.903,0.4,0.8,4.079159713092569,0.9127185687919565,-91.46,"[522.4000244140625, 580.5999755859375]"
std,1789044130.5893705,2.111687476,0.5317750908577861,0.903,0.4,0.8,4.330768300435523,0.803805932852076,-2.69,"[522.4000244140625, 580.5999755859375]"
std,1789044130.6394343,2.161751273,0.5063764712397223,0.903,0.4,0.8,4.582365286505125,0.7148350471547088,-37.66,"[562.4000244140625, 539.5999755859375]"
std,1789044130.6894298,2.211746809,0.5059398949929641,0.903,0.4,0.8,4.833704752455002,0.6381360077604268,-45.73,"[562.4000244140625, 539.5999755859375]"
std,1789044130.7392468,2.2615640580000003,0.5303521080681282,0.903,0.4,0.8,5.08434088869469,0.5675728915176872,-45.73,"[599.7999877929688, 492.0]"
std,1789044130.7892087,2.3115256150000003,0.5781908106037443,0.903,0.4,0.8,5.335575284706586,0.5307573526084318,-99.53,"[599.7999877929688, 492.0]"
std,1789044130.8393016,2.361618463,0.6465535892002037,0.903,0.4,0.8,5.587233710275397,0.5154175447295755,-83.39,"[622.4000244140625, 468.20001220703125]"
std,1789044130.8894613,2.411778384,0.7311467518490445,0.903,0.4,0.8,5.839098857667363,0.521553467881118,2.69,"[622.4000244140625, 468.20001220703125]"
std,1789044130.9393976,2.4617145010000003,0.8262845392983993,0.903,0.4,0.8,6.090201000168365,0.5476311412751739,2.69,"[618.0, 433.6000061035156]"
std,1789044130.9893122,2.511628994,0.9261915744864503,0.903,0.4,0.8,0.05801146870235385,0.5951845456996288,13.45,"[618.0, 433.6000061035156]"
