mode,t_ros_sec,t_rel_sec,tail_target_rad,tail_bias_rad,tail_bias_offset_rad,tail_bias_rand_rad,tail_amp_rad,tail_freq_hz,phase_rad,cycle_idx,present_position_rad,present_current_ma,sensor_len,sensor_values
random_walk,1788871806.6366227,0.000672074,0.9321703029796707,0.903,0.0,0.027721002028632244,0.40894870740340616,0.9186068411205689,0.0035439749744090245,0,0.619728238305799,8.07,2,"[616.75, 404.25]"
random_walk,1788871806.6857977,0.049846958000000004,1.0431927611260943,0.903,0.0,0.027721002028632244,0.39564000074113004,0.9223797326353949,0.28825330266486365,0,0.705631162427395,64.56,2,"[598.2000122070312, 489.3999938964844]"
random_walk,1788871806.7358685,0.09991774,1.1412442387806716,0.903,0.0,0.027721002028632244,0.38432760007819533,0.9255866904229969,0.5796967796172852,0,0.7992039904884191,2.69,2,"[598.2000122070312, 489.3999938964844]"
random_walk,1788871806.7857628,0.149811984,1.2172864502042184,0.903,0.0,0.027721002028632244,0.3747120595147008,0.9283126045424587,0.8706714665050015,0,0.8759030298827011,5.38,2,"[550.2000122070312, 574.5999755859375]"
random_walk,1788871806.8357847,0.199833849,1.2672293749139403,0.903,0.0,0.027721002028632244,0.3665388500357305,0.9306296315440011,1.163184459625247,0,0.9265243958829272,18.83,2,"[550.2000122070312, 574.5999755859375]"
random_walk,1788871806.8857698,0.24981923300000003,1.2879525396787423,0.903,0.0,0.027721002028632244,0.3595916219786057,0.9325991044953122,1.4561627631204273,0,1.0032234352772094,18.83,2,"[520.0, 591.7999877929688]"
random_walk,1788871806.935741,0.299790349,1.2787713059263557,0.903,0.0,0.027721002028632244,0.35368647813004966,0.9342731565039267,1.7495588155289128,0,1.0891263593988052,16.14,2,"[520.0, 591.7999877929688]"
random_walk,1788871806.9859166,0.349965784,1.2410443333904793,0.903,0.0,0.027721002028632244,0.348667105858777,0.935696100711249,2.0441870499953447,0,1.1719613219446299,88.77,2,"[481.20001220703125, 638.0]"
random_walk,1788871807.0360172,0.40006660200000005,1.1783754039938692,0.903,0.0,0.027721002028632244,0.34440063942819527,0.936905603287473,2.3391034644251363,0,1.2287186110963986,118.36,2,"[481.20001220703125, 638.0]"
random_walk,1788871807.0858552,0.44990458400000005,1.0967228112037262,0.903,0.0,0.027721002028632244,0.34077414296220077,0.9379336804772633,2.632790515001146,0,1.2563302652783401,99.53,2,"[423.5, 680.75]"
random_walk,1788871807.1359396,0.499988961,1.0022542237507375,0.903,0.0,0.027721002028632244,0.33769162096610544,0.9388075460885852,2.928145562067019,0,1.2532623037025687,-2.69,2,"[423.5, 680.75]"
random_walk,1788871807.185945,0.5499942760000001,0.9033366923388383,0.903,0.0,0.027721002028632244,0.33507147726942443,0.9395503318582087,3.2234106776595106,0,1.2195147263690846,-2.69,2,"[424.79998779296875, 679.0]"
random_walk,1788871807.2358701,0.599919344,0.8082043376230437,0.903,0.0,0.027721002028632244,0.3328443551272456,0.9401816997623886,3.518546563817426,0,1.1382137446111458,-2.69,2,"[424.79998779296875, 679.0]"
random_walk,1788871807.2857823,0.649831766,0.7246647176170496,0.903,0.0,0.027721002028632244,0.33095130130639355,0.9407183624809417,3.813676679893583,0,1.0875923786109196,-43.04,2,"[450.79998779296875, 650.2000122070312]"
random_walk,1788871807.3357534,0.6998025790000001,0.659487674264256,0.903,0.0,0.027721002028632244,0.32934220555866933,0.9411745257917117,4.109252895254305,0,0.9694758579437253,-69.94,2,"[450.79998779296875, 650.2000122070312]"
random_walk,1788871807.3859308,0.749980123,0.6180484461347269,0.903,0.0,0.027721002028632244,0.32797447417310377,0.9415622646058662,4.405719133218938,0,0.885106914610015,-88.77,2,"[516.4000244140625, 584.4000244140625]"
random_walk,1788871807.4358983,0.799947575,0.6039284334574277,0.903,0.0,0.027721002028632244,0.326811902495373,0.9418918425978976,4.701511502430815,0,0.7900001057611052,-2.69,2,"[516.4000244140625, 584.4000244140625]"
random_walk,1788871807.4859083,0.8499575450000001,0.6180566299898542,0.903,0.0,0.027721002028632244,0.32582371656930187,0.9421719838911242,4.997565269156177,0,0.7102331047910518,-10.76,2,"[575.7999877929688, 527.5999755859375]"
random_walk,1788871807.535996,0.9000453340000001,0.6591852031910763,0.903,0.0,0.027721002028632244,0.3249837585321414,0.9424101039903668,5.294076750547921,0,0.6565437772150544,-24.21,2,"[575.7999877929688, 527.5999755859375]"
random_walk,1788871807.5858085,0.949857817,0.7233237462321157,0.903,0.0,0.027721002028632244,0.324269794200555,0.9426125060747231,5.589230392986777,0,0.6273981422452273,-51.11,2,"[481.0, 491.79998779296875]"
random_walk,1788871807.6358483,0.999897644,0.8054735165355976,0.903,0.0,0.027721002028632244,0.3236629245187066,0.942784547846426,5.885843188565752,0,0.6258641614573416,-51.11,2,"[481.0, 491.79998779296875]"
random_walk,1788871807.685797,1.0498462960000001,0.8979528273402395,0.903,0.0,0.027721002028632244,0.32314708528913544,0.9429307833523733,6.181607435127411,0,0.6473398924877406,5.38,2,"[579.6666870117188, 412.6666564941406]"
random_walk,1788871807.7357574,1.099806706,0.9931230024512584,0.903,0.0,0.027721002028632244,0.32270862194399996,0.9430550835324286,0.19459529704610823,1,0.6872233929727672,2.69,2,"[579.6666870117188, 412.6666564941406]"
random_walk,1788871807.7859004,1.149949614,1.082845880393084,0.903,0.0,0.027721002028632244,0.32233592810063477,0.9431607386854757,0.49149579619772954,1,0.7439806821245359,78.01,2,"[564.25, 509.5]"
random_walk,1788871807.8359497,1.1999989960000002,1.1590174815519538,0.903,0.0,0.027721002028632244,0.3220191383337744,0.9432505455655656,0.7880127311801077,1,0.8191457407309324,32.28,2,"[564.25, 509.5]"
random_walk,1788871807.8859386,1.249987868,1.2140978565086196,0.903,0.0,0.027721002028632244,0.3228674666105181,0.9008601799143782,1.071015996138863,1,0.9142525495798421,2.69,2,"[521.5999755859375, 558.4000244140625]"
random_walk,1788871807.9360394,1.300088901,1.245965085145644,0.903,0.0,0.027721002028632244,0.32358854564575024,0.8648283691108688,1.343205198892604,1,0.9986214929135524,2.69,2,"[521.5999755859375, 558.4000244140625]"
random_walk,1788871807.9859326,1.349981984,1.2547352708351396,0.903,0.0,0.027721002028632244,0.32420146282569756,0.8342013299278859,1.6047803190675536,1,1.0783884938836057,51.11,2,"[508.0, 607.5999755859375]"
random_walk,1788871808.0358336,1.3998831420000002,1.2421010757783573,0.903,0.0,0.027721002028632244,0.3247224424286528,0.8081683466223504,1.8584524928543598,1,1.1612234564294304,51.11,2,"[508.0, 607.5999755859375]"
random_walk,1788871808.0857837,1.449832932,1.2105656533603892,0.903,0.0,0.027721002028632244,0.3251652750911647,0.7860403108126452,2.1051012392252524,1,1.2087768608538851,72.63,2,"[454.0, 647.2000122070312]"
random_walk,1788871808.135744,1.49979341,1.1632474827504886,0.903,0.0,0.027721002028632244,0.32554168285429985,0.7672314803743958,2.346004152532011,1,1.2287186110963986,131.81,2,"[454.0, 647.2000122070312]"
random_walk,1788871808.18574,1.5497890900000002,1.1036974742887533,0.903,0.0,0.027721002028632244,0.3258616294529647,0.7512439745018838,2.582015389469543,1,1.2287186110963986,37.66,2,"[429.79998779296875, 669.7999877929688]"
random_walk,1788871808.2359493,1.5999984550000002,1.0355431613834827,0.903,0.0,0.027721002028632244,0.32613358406182985,0.7376545945102486,2.8143759467923104,1,1.214912784005428,-2.69,2,"[429.79998779296875, 669.7999877929688]"
random_walk,1788871808.2858968,1.649946168,0.963058777274022,0.903,0.0,0.027721002028632244,0.3263647454793652,0.7261036215173587,3.0423450323319887,1,1.1857671490356005,-2.69,2,"[430.25, 657.25]"
random_walk,1788871808.3360221,1.700071383,0.8895856693336062,0.903,0.0,0.027721002028632244,0.3265612326842703,0.7162852944734024,3.2678933182297634,1,1.141281706186917,-21.52,2,"[430.25, 657.25]"
random_walk,1788871808.385935,1.749984256,0.81920560713216,0.903,0.0,0.027721002028632244,0.3267282468084396,0.7079397164860395,3.4899021628809965,1,1.086058397823034,-32.28,2,"[453.6000061035156, 640.4000244140625]"
random_walk,1788871808.4358582,1.799907622,0.7547951091277996,0.903,0.0,0.027721002028632244,0.3268702088139835,0.7008459751967809,3.709908385885612,1,1.0016894544893238,-32.28,2,"[453.6000061035156, 640.4000244140625]"
random_walk,1788871808.485718,1.8497673780000001,0.699343322723981,0.903,0.0,0.027721002028632244,0.32699087651869585,0.6948162951009113,3.9276839682999842,1,0.9372622613981267,-32.28,2,"[489.79998779296875, 595.2000122070312]"
