Device: cuda | threads: 4
lambda_future: fisso a 0.5 in fase 1, cercato in [1e-3, 3.0] (log) nelle fasi 2/3
=== FASE 2 | 8 trial (questo worker) | 30 epoche ===

Caricamento dataset...
Trovati 34 trial.
  [trial_20260519_151133.csv] attenzione: calibrazione a riposo su 37 campioni (< 50)
Dataset grezzo: 34 trial letti. Scaler e finestre verranno costruiti in split_by_trial() (fit solo sul training set).
Feature in input per timestep: 1

--- Fase 2, architettura #1: gru=256, mlp=256 ---

[I 2026-09-07 11:06:39,219] Using an existing study with name 'fish_forward_phase2_arch1' instead of creating a new one.
Normalizzatore caricato da /home/gemma/tesi/aquabot/src/net/SensorEstimator/../../../src/net/scaler/scalers.pkl (nessun refit).
Dataset: 27324 campioni da 34 trial. seq feature/timestep = 1
  Trial 20 | Epoch  2 | val 0.0482
  Trial 20 | Epoch  3 | val 0.0503
  Trial 20 | Epoch  4 | val 0.0462
  Trial 20 | Epoch  5 | val 0.0461
  Trial 20 | Epoch  6 | val 0.0460
  Trial 20 | Epoch  7 | val 0.0424
  Trial 20 | Epoch  8 | val 0.0440
  Trial 20 | Epoch  9 | val 0.0416
  Trial 20 | Epoch 10 | val 0.0421
  Trial 20 | Epoch 11 | val 0.0416
  Trial 20 | Epoch 12 | val 0.0401
  Trial 20 | Epoch 13 | val 0.0399
  Trial 20 | Epoch 14 | val 0.0391
  Trial 20 | Epoch 15 | val 0.0429
  Trial 20 | Epoch 16 | val 0.0433
  Trial 20 | Epoch 17 | val 0.0406
  Trial 20 | Epoch 18 | val 0.0399
  Trial 20 | Epoch 19 | val 0.0416
  Trial 20 | Epoch 20 | val 0.0414
  Trial 20 | Epoch 21 | val 0.0415
  Trial 20 | Epoch 22 | val 0.0389
  Trial 20 | Epoch 23 | val 0.0423
  Trial 20 | Epoch 24 | val 0.0425
  Trial 20 | Epoch 25 | val 0.0412
  Trial 20 | Epoch 26 | val 0.0424
  Trial 20 | Epoch 27 | val 0.0402
  Trial 20 | Epoch 28 | val 0.0420
  Trial 20 | Epoch 29 | val 0.0419
[I 2026-09-07 11:11:53,588] Trial 20 finished with value: 0.03886750520818603 and parameters: {'lr': 0.0012374487697234076, 'batch_size': 32, 'lambda_future': 0.006007539444686143}. Best is trial 20 with value: 0.03886750520818603.
  Trial 24 | Epoch  0 | val 0.0599
  Trial 24 | Epoch  1 | val 0.0508
  Trial 24 | Epoch  2 | val 0.0528
  Trial 24 | Epoch  3 | val 0.0475
  Trial 24 | Epoch  4 | val 0.0447
  Trial 24 | Epoch  5 | val 0.0422
  Trial 24 | Epoch  6 | val 0.0441
  Trial 24 | Epoch  7 | val 0.0469
  Trial 24 | Epoch  8 | val 0.0411
  Trial 24 | Epoch  9 | val 0.0428
  Trial 24 | Epoch 10 | val 0.0407
  Trial 24 | Epoch 11 | val 0.0410
  Trial 24 | Epoch 12 | val 0.0421
  Trial 24 | Epoch 13 | val 0.0413
  Trial 24 | Epoch 14 | val 0.0399
  Trial 24 | Epoch 15 | val 0.0397
  Trial 24 | Epoch 16 | val 0.0401
  Trial 24 | Epoch 17 | val 0.0436
  Trial 24 | Epoch 18 | val 0.0410
  Trial 24 | Epoch 19 | val 0.0409
  Trial 24 | Epoch 20 | val 0.0405
  Trial 24 | Epoch 21 | val 0.0409
  Trial 24 | Epoch 22 | val 0.0433
  Trial 24 | Epoch 23 | val 0.0421
  Trial 24 | Epoch 24 | val 0.0418
  Trial 24 | Epoch 25 | val 0.0403
  Trial 24 | Epoch 26 | val 0.0427
  Trial 24 | Epoch 27 | val 0.0426
  Trial 24 | Epoch 28 | val 0.0433
  Trial 24 | Epoch 29 | val 0.0429
[I 2026-09-07 11:13:56,162] Trial 24 finished with value: 0.03966550043533876 and parameters: {'lr': 0.0016200280496648178, 'batch_size': 32, 'lambda_future': 0.007736596966002199}. Best is trial 20 with value: 0.03886750520818603.
  Trial 28 | Epoch  0 | val 0.0574
  Trial 28 | Epoch  1 | val 0.0555
  Trial 28 | Epoch  2 | val 0.0542
  Trial 28 | Epoch  3 | val 0.0480
  Trial 28 | Epoch  4 | val 0.0466
  Trial 28 | Epoch  5 | val 0.0456
  Trial 28 | Epoch  6 | val 0.0442
  Trial 28 | Epoch  7 | val 0.0450
  Trial 28 | Epoch  8 | val 0.0424
  Trial 28 | Epoch  9 | val 0.0422
  Trial 28 | Epoch 10 | val 0.0481
  Trial 28 | Epoch 11 | val 0.0416
  Trial 28 | Epoch 12 | val 0.0423
  Trial 28 | Epoch 13 | val 0.0411
  Trial 28 | Epoch 14 | val 0.0410
  Trial 28 | Epoch 15 | val 0.0402
  Trial 28 | Epoch 16 | val 0.0404
  Trial 28 | Epoch 17 | val 0.0399
  Trial 28 | Epoch 18 | val 0.0418
  Trial 28 | Epoch 19 | val 0.0400
  Trial 28 | Epoch 20 | val 0.0404
  Trial 28 | Epoch 21 | val 0.0431
  Trial 28 | Epoch 22 | val 0.0405
  Trial 28 | Epoch 23 | val 0.0400
  Trial 28 | Epoch 24 | val 0.0415
  Trial 28 | Epoch 25 | val 0.0423
  Trial 28 | Epoch 26 | val 0.0426
  Trial 28 | Epoch 27 | val 0.0414
  Trial 28 | Epoch 28 | val 0.0405
  Trial 28 | Epoch 29 | val 0.0393
[I 2026-09-07 11:15:51,339] Trial 28 finished with value: 0.03925006038078399 and parameters: {'lr': 0.0009725699277655133, 'batch_size': 32, 'lambda_future': 0.01845684797735685}. Best is trial 20 with value: 0.03886750520818603.

--- Fase 2, architettura #2: gru=128, mlp=256 ---

[I 2026-09-07 11:15:51,341] Using an existing study with name 'fish_forward_phase2_arch2' instead of creating a new one.
  Trial 2 | Epoch  0 | val 0.0814
  Trial 2 | Epoch  1 | val 0.0631
  Trial 2 | Epoch  2 | val 0.0557
  Trial 2 | Epoch  3 | val 0.0516
  Trial 2 | Epoch  4 | val 0.0531
  Trial 2 | Epoch  5 | val 0.0484
  Trial 2 | Epoch  6 | val 0.0520
  Trial 2 | Epoch  7 | val 0.0495
  Trial 2 | Epoch  8 | val 0.0452
  Trial 2 | Epoch  9 | val 0.0451
  Trial 2 | Epoch 10 | val 0.0468
  Trial 2 | Epoch 11 | val 0.0479
  Trial 2 | Epoch 12 | val 0.0449
  Trial 2 | Epoch 13 | val 0.0435
  Trial 2 | Epoch 14 | val 0.0457
  Trial 2 | Epoch 15 | val 0.0431
  Trial 2 | Epoch 16 | val 0.0476
  Trial 2 | Epoch 17 | val 0.0438
  Trial 2 | Epoch 18 | val 0.0426
  Trial 2 | Epoch 19 | val 0.0445
  Trial 2 | Epoch 20 | val 0.0425
  Trial 2 | Epoch 21 | val 0.0430
  Trial 2 | Epoch 22 | val 0.0445
  Trial 2 | Epoch 23 | val 0.0416
  Trial 2 | Epoch 24 | val 0.0432
  Trial 2 | Epoch 25 | val 0.0426
  Trial 2 | Epoch 26 | val 0.0431
  Trial 2 | Epoch 27 | val 0.0419
  Trial 2 | Epoch 28 | val 0.0424
  Trial 2 | Epoch 29 | val 0.0428
[I 2026-09-07 11:16:44,047] Trial 2 finished with value: 0.04162784189041426 and parameters: {'lr': 0.0007776800238571049, 'batch_size': 64, 'lambda_future': 0.04531449026774036}. Best is trial 2 with value: 0.04162784189041426.
  Trial 5 | Epoch  0 | val 0.0710
  Trial 5 | Epoch  1 | val 0.0618
  Trial 5 | Epoch  2 | val 0.0527
  Trial 5 | Epoch  3 | val 0.0455
  Trial 5 | Epoch  4 | val 0.0459
  Trial 5 | Epoch  5 | val 0.0466
  Trial 5 | Epoch  6 | val 0.0478
  Trial 5 | Epoch  7 | val 0.0450
  Trial 5 | Epoch  8 | val 0.0429
  Trial 5 | Epoch  9 | val 0.0420
  Trial 5 | Epoch 10 | val 0.0417
  Trial 5 | Epoch 11 | val 0.0411
  Trial 5 | Epoch 12 | val 0.0398
  Trial 5 | Epoch 13 | val 0.0404
  Trial 5 | Epoch 14 | val 0.0431
  Trial 5 | Epoch 15 | val 0.0399
  Trial 5 | Epoch 16 | val 0.0414
  Trial 5 | Epoch 17 | val 0.0430
  Trial 5 | Epoch 18 | val 0.0398
  Trial 5 | Epoch 19 | val 0.0407
  Trial 5 | Epoch 20 | val 0.0409
  Trial 5 | Epoch 21 | val 0.0410
  Trial 5 | Epoch 22 | val 0.0395
  Trial 5 | Epoch 23 | val 0.0391
  Trial 5 | Epoch 24 | val 0.0429
  Trial 5 | Epoch 25 | val 0.0392
  Trial 5 | Epoch 26 | val 0.0402
  Trial 5 | Epoch 27 | val 0.0405
  Trial 5 | Epoch 28 | val 0.0405
  Trial 5 | Epoch 29 | val 0.0413
[I 2026-09-07 11:17:27,790] Trial 5 finished with value: 0.03910548846001056 and parameters: {'lr': 0.0013958106493296319, 'batch_size': 64, 'lambda_future': 0.00950388309234561}. Best is trial 5 with value: 0.03910548846001056.
  Trial 10 | Epoch  0 | val 0.1097
  Trial 10 | Epoch  1 | val 0.0816
  Trial 10 | Epoch  2 | val 0.0789
  Trial 10 | Epoch  3 | val 0.0728
  Trial 10 | Epoch  4 | val 0.0708
  Trial 10 | Epoch  5 | val 0.0676
[I 2026-09-07 11:17:44,863] Trial 10 pruned. 
  Trial 11 | Epoch  0 | val 0.1131
  Trial 11 | Epoch  1 | val 0.1132
  Trial 11 | Epoch  2 | val 0.1012
  Trial 11 | Epoch  3 | val 0.0951
  Trial 11 | Epoch  4 | val 0.0953
  Trial 11 | Epoch  5 | val 0.0932
[I 2026-09-07 11:18:00,927] Trial 11 pruned. 
  Trial 15 | Epoch  0 | val 0.1002
  Trial 15 | Epoch  1 | val 0.0649
  Trial 15 | Epoch  2 | val 0.0552
  Trial 15 | Epoch  3 | val 0.0552
  Trial 15 | Epoch  4 | val 0.0515
  Trial 15 | Epoch  5 | val 0.0510
[I 2026-09-07 11:18:05,992] Trial 15 pruned. 
  Trial 18 | Epoch  0 | val 0.0662
  Trial 18 | Epoch  1 | val 0.0547
  Trial 18 | Epoch  2 | val 0.0505
  Trial 18 | Epoch  3 | val 0.0518
  Trial 18 | Epoch  4 | val 0.0448
  Trial 18 | Epoch  5 | val 0.0465
  Trial 18 | Epoch  6 | val 0.0434
  Trial 18 | Epoch  7 | val 0.0417
  Trial 18 | Epoch  8 | val 0.0447
  Trial 18 | Epoch  9 | val 0.0431
  Trial 18 | Epoch 10 | val 0.0435
  Trial 18 | Epoch 11 | val 0.0401
  Trial 18 | Epoch 12 | val 0.0418
  Trial 18 | Epoch 13 | val 0.0409
  Trial 18 | Epoch 14 | val 0.0394
  Trial 18 | Epoch 15 | val 0.0421
  Trial 18 | Epoch 16 | val 0.0402
  Trial 18 | Epoch 17 | val 0.0397
  Trial 18 | Epoch 18 | val 0.0402
  Trial 18 | Epoch 19 | val 0.0403
  Trial 18 | Epoch 20 | val 0.0402
  Trial 18 | Epoch 21 | val 0.0411
  Trial 18 | Epoch 22 | val 0.0421
  Trial 18 | Epoch 23 | val 0.0401
  Trial 18 | Epoch 24 | val 0.0399
  Trial 18 | Epoch 25 | val 0.0401
  Trial 18 | Epoch 26 | val 0.0403
  Trial 18 | Epoch 27 | val 0.0396
  Trial 18 | Epoch 28 | val 0.0414
  Trial 18 | Epoch 29 | val 0.0409
[I 2026-09-07 11:18:50,477] Trial 18 finished with value: 0.03944146685274457 and parameters: {'lr': 0.0016012485992079708, 'batch_size': 64, 'lambda_future': 0.0036858021880161094}. Best is trial 8 with value: 0.03819516787666883.
  Trial 23 | Epoch  0 | val 0.0763
