Device: cuda | threads: 4
lambda_future: fisso a 0.5 in fase 1, cercato in [1e-3, 1.0] (log) nelle fasi 2/3
=== FASE 2 | 8 trial (questo worker) | 30 epoche ===

Caricamento dataset...
Trovati 34 trial.
  [trial_20260519_151133.csv] attenzione: calibrazione a riposo su 37 campioni (< 50)
Dataset grezzo: 34 trial letti. Scaler e finestre verranno costruiti in split_by_trial() (fit solo sul training set).
Feature in input per timestep: 3

--- Fase 2, architettura #1: gru=128, mlp=128 ---

[I 2026-08-24 12:02:44,424] A new study created in RDB with name: fish_forward_phase2_arch1
Normalizzatore caricato da /home/gemma/tesi/aquabot/src/net/SensorEstimator/../../../src/net/scaler/scalers.pkl (nessun refit).
Dataset: 27290 campioni da 34 trial. seq feature/timestep = 3
  Trial 0 | Epoch  0 | val 0.2577
  Trial 0 | Epoch  1 | val 0.2072
  Trial 0 | Epoch  2 | val 0.1812
  Trial 0 | Epoch  3 | val 0.1574
  Trial 0 | Epoch  4 | val 0.1442
  Trial 0 | Epoch  5 | val 0.1405
  Trial 0 | Epoch  6 | val 0.1301
  Trial 0 | Epoch  7 | val 0.1396
  Trial 0 | Epoch  8 | val 0.1221
  Trial 0 | Epoch  9 | val 0.1162
  Trial 0 | Epoch 10 | val 0.1124
  Trial 0 | Epoch 11 | val 0.1120
  Trial 0 | Epoch 12 | val 0.1115
  Trial 0 | Epoch 13 | val 0.1095
  Trial 0 | Epoch 14 | val 0.1102
  Trial 0 | Epoch 15 | val 0.1108
  Trial 0 | Epoch 16 | val 0.1047
  Trial 0 | Epoch 17 | val 0.1025
  Trial 0 | Epoch 18 | val 0.1033
  Trial 0 | Epoch 19 | val 0.1035
  Trial 0 | Epoch 20 | val 0.1059
  Trial 0 | Epoch 21 | val 0.1043
  Trial 0 | Epoch 22 | val 0.1063
  Trial 0 | Epoch 23 | val 0.1008
  Trial 0 | Epoch 24 | val 0.1020
  Trial 0 | Epoch 25 | val 0.0991
  Trial 0 | Epoch 26 | val 0.1000
  Trial 0 | Epoch 27 | val 0.1033
  Trial 0 | Epoch 28 | val 0.0999
  Trial 0 | Epoch 29 | val 0.1023
[I 2026-08-24 12:03:50,188] Trial 0 finished with value: 0.099059393434827 and parameters: {'lr': 0.000626439594984844, 'batch_size': 64, 'lambda_future': 0.8352712138523841}. Best is trial 2 with value: 0.07382333439899914.
  Trial 6 | Epoch  0 | val 0.2079
  Trial 6 | Epoch  1 | val 0.1499
  Trial 6 | Epoch  2 | val 0.1254
  Trial 6 | Epoch  3 | val 0.1122
  Trial 6 | Epoch  4 | val 0.1024
  Trial 6 | Epoch  5 | val 0.0947
  Trial 6 | Epoch  6 | val 0.0902
  Trial 6 | Epoch  7 | val 0.0869
  Trial 6 | Epoch  8 | val 0.0837
  Trial 6 | Epoch  9 | val 0.0809
  Trial 6 | Epoch 10 | val 0.0789
  Trial 6 | Epoch 11 | val 0.0782
  Trial 6 | Epoch 12 | val 0.0759
  Trial 6 | Epoch 13 | val 0.0745
  Trial 6 | Epoch 14 | val 0.0726
  Trial 6 | Epoch 15 | val 0.0729
  Trial 6 | Epoch 16 | val 0.0714
  Trial 6 | Epoch 17 | val 0.0718
  Trial 6 | Epoch 18 | val 0.0709
  Trial 6 | Epoch 19 | val 0.0695
  Trial 6 | Epoch 20 | val 0.0705
  Trial 6 | Epoch 21 | val 0.0700
  Trial 6 | Epoch 22 | val 0.0693
  Trial 6 | Epoch 23 | val 0.0691
  Trial 6 | Epoch 24 | val 0.0681
  Trial 6 | Epoch 25 | val 0.0684
  Trial 6 | Epoch 26 | val 0.0685
  Trial 6 | Epoch 27 | val 0.0672
  Trial 6 | Epoch 28 | val 0.0685
  Trial 6 | Epoch 29 | val 0.0667
[I 2026-08-24 12:04:54,839] Trial 6 finished with value: 0.06669005217836864 and parameters: {'lr': 0.0004134835880807639, 'batch_size': 64, 'lambda_future': 0.022781737863036652}. Best is trial 9 with value: 0.06386220733176416.
  Trial 14 | Epoch  0 | val 0.1492
  Trial 14 | Epoch  1 | val 0.1054
  Trial 14 | Epoch  2 | val 0.0871
  Trial 14 | Epoch  3 | val 0.0795
  Trial 14 | Epoch  4 | val 0.0754
  Trial 14 | Epoch  5 | val 0.0725
  Trial 14 | Epoch  6 | val 0.0715
  Trial 14 | Epoch  7 | val 0.0689
  Trial 14 | Epoch  8 | val 0.0701
  Trial 14 | Epoch  9 | val 0.0715
  Trial 14 | Epoch 10 | val 0.0685
  Trial 14 | Epoch 11 | val 0.0682
  Trial 14 | Epoch 12 | val 0.0671
  Trial 14 | Epoch 13 | val 0.0669
  Trial 14 | Epoch 14 | val 0.0666
  Trial 14 | Epoch 15 | val 0.0671
  Trial 14 | Epoch 16 | val 0.0664
  Trial 14 | Epoch 17 | val 0.0674
  Trial 14 | Epoch 18 | val 0.0684
  Trial 14 | Epoch 19 | val 0.0672
  Trial 14 | Epoch 20 | val 0.0670
  Trial 14 | Epoch 21 | val 0.0663
  Trial 14 | Epoch 22 | val 0.0673
  Trial 14 | Epoch 23 | val 0.0668
  Trial 14 | Epoch 24 | val 0.0670
  Trial 14 | Epoch 25 | val 0.0658
  Trial 14 | Epoch 26 | val 0.0662
  Trial 14 | Epoch 27 | val 0.0654
  Trial 14 | Epoch 28 | val 0.0649
  Trial 14 | Epoch 29 | val 0.0650
[I 2026-08-24 12:05:26,647] Trial 14 finished with value: 0.06488373992380811 and parameters: {'lr': 0.002548938291504564, 'batch_size': 128, 'lambda_future': 0.006503799227997716}. Best is trial 9 with value: 0.06386220733176416.
  Trial 16 | Epoch  0 | val 0.0945
  Trial 16 | Epoch  1 | val 0.0799
  Trial 16 | Epoch  2 | val 0.0711
  Trial 16 | Epoch  3 | val 0.0698
  Trial 16 | Epoch  4 | val 0.0703
