Device: cuda | threads: 4
lambda_future: fisso a 0.5 in fase 1, cercato in [1e-3, 1.0] (log) nelle fasi 2/3
=== FASE 3 | 13 trial (questo worker) | 50 epoche ===

Caricamento dataset...
Trovati 34 trial.
  [trial_20260519_151133.csv] attenzione: calibrazione a riposo su 37 campioni (< 50)
Normalizzatore caricato da /home/gemma/tesi/aquabot/src/net/SensorEstimator/../../../src/net/scaler/scalers.pkl (nessun refit).
Dataset: 27290 campioni da 34 trial. seq feature/timestep = 3
Feature in input per timestep: 3
Best arch (fase 1/2):   gru_hidden=512, mlp_hidden=32
Best training (fase 2): lr=1.47e-03, batch_size=32 (val 0.0625)

[I 2026-08-18 11:22:20,704] Using an existing study with name 'fish_forward_phase3' instead of creating a new one.
  Trial 2 | Epoch  0 | val 0.1483
  Trial 2 | Epoch  1 | val 0.1132
  Trial 2 | Epoch  2 | val 0.0908
  Trial 2 | Epoch  3 | val 0.0846
  Trial 2 | Epoch  4 | val 0.0792
  Trial 2 | Epoch  5 | val 0.0748
  Trial 2 | Epoch  6 | val 0.0699
  Trial 2 | Epoch  7 | val 0.0709
  Trial 2 | Epoch  8 | val 0.0690
  Trial 2 | Epoch  9 | val 0.0688
  Trial 2 | Epoch 10 | val 0.0669
  Trial 2 | Epoch 11 | val 0.0690
  Trial 2 | Epoch 12 | val 0.0682
  Trial 2 | Epoch 13 | val 0.0681
  Trial 2 | Epoch 14 | val 0.0684
  Trial 2 | Epoch 15 | val 0.0662
  Trial 2 | Epoch 16 | val 0.0663
  Trial 2 | Epoch 17 | val 0.0663
  Trial 2 | Epoch 18 | val 0.0659
  Trial 2 | Epoch 19 | val 0.0669
  Trial 2 | Epoch 20 | val 0.0654
  Trial 2 | Epoch 21 | val 0.0645
  Trial 2 | Epoch 22 | val 0.0666
  Trial 2 | Epoch 23 | val 0.0648
  Trial 2 | Epoch 24 | val 0.0657
  Trial 2 | Epoch 25 | val 0.0669
  Trial 2 | Epoch 26 | val 0.0656
  Trial 2 | Epoch 27 | val 0.0639
  Trial 2 | Epoch 28 | val 0.0648
  Trial 2 | Epoch 29 | val 0.0645
  Trial 2 | Epoch 30 | val 0.0642
  Trial 2 | Epoch 31 | val 0.0669
  Trial 2 | Epoch 32 | val 0.0642
  Trial 2 | Epoch 33 | val 0.0651
  Trial 2 | Epoch 34 | val 0.0681
  Trial 2 | Epoch 35 | val 0.0658
  Trial 2 | Epoch 36 | val 0.0662
  Trial 2 | Epoch 37 | val 0.0668
  Trial 2 | Epoch 38 | val 0.0647
  Trial 2 | Epoch 39 | val 0.0657
  Trial 2 | Epoch 40 | val 0.0650
  Trial 2 | Epoch 41 | val 0.0647
  Trial 2 | Epoch 42 | val 0.0645
  Trial 2 | Epoch 43 | val 0.0660
  Trial 2 | Epoch 44 | val 0.0662
  Trial 2 | Epoch 45 | val 0.0659
  Trial 2 | Epoch 46 | val 0.0651
  Trial 2 | Epoch 47 | val 0.0645
  Trial 2 | Epoch 48 | val 0.0660
  Trial 2 | Epoch 49 | val 0.0652
[I 2026-08-18 11:23:18,401] Trial 2 finished with value: 0.06389586977771859 and parameters: {'gru_hidden': 512, 'mlp_hidden': 32, 'lr': 0.0011373946339138159, 'batch_size': 128, 'lambda_future': 0.01341355326173129}. Best is trial 2 with value: 0.06389586977771859.
  Trial 4 | Epoch  0 | val 0.0965
  Trial 4 | Epoch  1 | val 0.0756
  Trial 4 | Epoch  2 | val 0.0714
  Trial 4 | Epoch  3 | val 0.0718
  Trial 4 | Epoch  4 | val 0.0689
  Trial 4 | Epoch  5 | val 0.0680
  Trial 4 | Epoch  6 | val 0.0708
  Trial 4 | Epoch  7 | val 0.0666
  Trial 4 | Epoch  8 | val 0.0692
  Trial 4 | Epoch  9 | val 0.0687
  Trial 4 | Epoch 10 | val 0.0654
  Trial 4 | Epoch 11 | val 0.0654
  Trial 4 | Epoch 12 | val 0.0672
  Trial 4 | Epoch 13 | val 0.0646
  Trial 4 | Epoch 14 | val 0.0653
  Trial 4 | Epoch 15 | val 0.0642
  Trial 4 | Epoch 16 | val 0.0661
  Trial 4 | Epoch 17 | val 0.0658
  Trial 4 | Epoch 18 | val 0.0678
  Trial 4 | Epoch 19 | val 0.0659
  Trial 4 | Epoch 20 | val 0.0652
  Trial 4 | Epoch 21 | val 0.0685
  Trial 4 | Epoch 22 | val 0.0660
  Trial 4 | Epoch 23 | val 0.0634
  Trial 4 | Epoch 24 | val 0.0661
  Trial 4 | Epoch 25 | val 0.0640
  Trial 4 | Epoch 26 | val 0.0659
  Trial 4 | Epoch 27 | val 0.0672
  Trial 4 | Epoch 28 | val 0.0651
  Trial 4 | Epoch 29 | val 0.0655
  Trial 4 | Epoch 30 | val 0.0667
  Trial 4 | Epoch 31 | val 0.0657
  Trial 4 | Epoch 32 | val 0.0645
  Trial 4 | Epoch 33 | val 0.0670
  Trial 4 | Epoch 34 | val 0.0651
  Trial 4 | Epoch 35 | val 0.0653
  Trial 4 | Epoch 36 | val 0.0677
  Trial 4 | Epoch 37 | val 0.0670
  Trial 4 | Epoch 38 | val 0.0665
  Trial 4 | Epoch 39 | val 0.0675
  Trial 4 | Epoch 40 | val 0.0656
  Trial 4 | Epoch 41 | val 0.0672
  Trial 4 | Epoch 42 | val 0.0671
  Trial 4 | Epoch 43 | val 0.0679
  Trial 4 | Epoch 44 | val 0.0689
  Trial 4 | Epoch 45 | val 0.0665
  Trial 4 | Epoch 46 | val 0.0661
  Trial 4 | Epoch 47 | val 0.0692
  Trial 4 | Epoch 48 | val 0.0695
  Trial 4 | Epoch 49 | val 0.0680
