Device: cuda | threads: 4
lambda_future FISSO a 0.0 (solo testa history)
=== FASE 2 | 8 trial (questo worker) | 30 epoche ===

Caricamento dataset...
Trovati 34 trial.
  [trial_20260519_151133.csv] attenzione: calibrazione a riposo su 37 campioni (< 50)
Normalizzatore caricato da /home/gemma/tesi/aquabot/src/net/SensorEstimator/../../../src/net/scaler/scalers.pkl (nessun refit).
Dataset: 27290 campioni da 34 trial. seq feature/timestep = 3
Feature in input per timestep: 3

--- Fase 2, architettura #1: gru=512, mlp=64 ---

[I 2026-07-28 10:56:11,824] Using an existing study with name 'fish_forward_phase2_arch1' instead of creating a new one.
  Trial 20 | Epoch 23 | val 0.1953
  Trial 20 | Epoch 24 | val 0.1883
  Trial 20 | Epoch 25 | val 0.1863
  Trial 20 | Epoch 26 | val 0.1870
  Trial 20 | Epoch 27 | val 0.1863
  Trial 20 | Epoch 28 | val 0.1854
  Trial 20 | Epoch 29 | val 0.1840
[I 2026-07-28 11:04:23,677] Trial 20 finished with value: 0.18404689479118203 and parameters: {'lr': 0.0024158123906193475, 'batch_size': 32}. Best is trial 18 with value: 0.18225241029820247.
  Trial 26 | Epoch  0 | val 0.2347
  Trial 26 | Epoch  1 | val 0.2203
  Trial 26 | Epoch  2 | val 0.2090
  Trial 26 | Epoch  3 | val 0.2072
  Trial 26 | Epoch  4 | val 0.2053
  Trial 26 | Epoch  5 | val 0.2034
  Trial 26 | Epoch  6 | val 0.2039
[I 2026-07-28 11:04:56,165] Trial 26 pruned. 
  Trial 27 | Epoch  0 | val 0.2232
  Trial 27 | Epoch  1 | val 0.2142
  Trial 27 | Epoch  2 | val 0.2077
  Trial 27 | Epoch  3 | val 0.2072
  Trial 27 | Epoch  4 | val 0.2054
  Trial 27 | Epoch  5 | val 0.2038
  Trial 27 | Epoch  6 | val 0.2025
  Trial 27 | Epoch  7 | val 0.2016
  Trial 27 | Epoch  8 | val 0.2004
  Trial 27 | Epoch  9 | val 0.1995
  Trial 27 | Epoch 10 | val 0.2005
  Trial 27 | Epoch 11 | val 0.1980
  Trial 27 | Epoch 12 | val 0.1967
  Trial 27 | Epoch 13 | val 0.1991
[I 2026-07-28 11:06:00,030] Trial 27 pruned. 
  Trial 29 | Epoch  0 | val 0.2285
  Trial 29 | Epoch  1 | val 0.2167
  Trial 29 | Epoch  2 | val 0.2073
  Trial 29 | Epoch  3 | val 0.2084
  Trial 29 | Epoch  4 | val 0.2063
  Trial 29 | Epoch  5 | val 0.2077
[I 2026-07-28 11:06:26,179] Trial 29 pruned. 
  Trial 31 | Epoch  0 | val 0.2400
