trial,split,n_finestre,sensor_diff_skill_rmse_P,current_R2_avg,sensor_diff_MAE_P,sensor_diff_RMSE_avg,current_nRMSE_1,cmd_skill_mae_avg,current_RMSE_P,current_MAE_persist_1,cmd_MAE_persist_avg,sensor_diff_skill_rmse_1,cmd_skill_rmse_avg,sensor_diff_nRMSE_1,cmd_MAE_avg,current_skill_mae_avg,cmd_RMSE_persist_1,cmd_RMSE_avg,sensor_diff_R2_P,current_nRMSE_avg,sensor_diff_skill_rmse_avg,cmd_R2_1,current_RMSE_persist_P,sensor_diff_MAE_persist_1,cmd_RMSE_persist_P,cmd_skill_rmse_P,cmd_nRMSE_1,sensor_diff_MAE_persist_P,current_MAE_P,cmd_R2_avg,sensor_diff_skill_mae_P,current_RMSE_persist_avg,sensor_diff_MAE_persist_avg,current_RMSE_persist_1,sensor_diff_R2_avg,current_nRMSE_P,sensor_diff_RMSE_1,sensor_diff_MAE_avg,current_skill_rmse_P,sensor_diff_nRMSE_avg,cmd_P,cmd_nRMSE_avg,current_skill_mae_P,cmd_skill_mae_P,cmd_skill_rmse_1,sensor_diff_RMSE_persist_1,current_skill_rmse_avg,current_R2_P,current_RMSE_avg,current_R2_1,cmd_RMSE_1,sensor_diff_skill_mae_1,sensor_diff_RMSE_persist_P,sensor_diff_nRMSE_P,sensor_diff_RMSE_persist_avg,cmd_MAE_1,cmd_MAE_P,current_P,current_MAE_avg,current_RMSE_1,cmd_skill_mae_1,cmd_MAE_persist_P,sensor_diff_RMSE_P,current_skill_mae_1,current_MAE_1,current_MAE_persist_avg,cmd_MAE_persist_1,cmd_RMSE_persist_avg,cmd_nRMSE_P,sensor_diff_skill_mae_avg,cmd_RMSE_P,cmd_R2_P,sensor_diff_R2_1,current_MAE_persist_P,sensor_diff_MAE_1,current_skill_rmse_1,sensor_diff_P,sensor_diff_net,current_net,cmd_net
== MEDIA per-trial ==,MEDIA_val,11,-1.09996037566692,0.4594,131.33239884810015,86.0686,0.2793,-0.142,73.44349184903231,34.0789,0.0912,0.6983,-0.1643,0.1093,0.1276,0.3139,0.0694,0.1459,-0.03343744301902724,0.6397,-0.2008,0.9996,71.31676587191495,34.1403,0.1374780840494416,-1.252217332149808,0.0178,68.27672576904297,50.96110465309837,0.4996,-1.0818510925176812,60.856,51.2085,50.3952,0.4763,1.0001471034297593,16.9593,71.4074,-0.07440917806184992,0.5629,2,0.509,0.027074766229454098,-1.2286648273357939,0.9235,57.1128,0.2558,-0.0002943096121068578,46.9949,0.919,0.0052,0.6501,80.76923335682262,1.016448410353227,68.941,0.0032,0.25204079124060547,2,32.0094,20.5463,0.9447,0.12127355113625526,155.17781899192116,0.6006,13.0577,45.0765,0.0612,0.1035,1.0001854641895067,-0.2159,0.28660452365875244,-0.00037100305139017094,0.9861,56.074022639881484,11.4825,0.586,2,FM,FM,IM
== COMPLESSIVO (pooled) ==,POOLED_val,9743,-0.84195107535383,0.4593,129.95289611816406,87.7953,0.2852,-0.0711,73.60515594482422,33.2687,0.0896,0.6724,-0.058,0.1258,0.1261,0.3464,0.0709,0.1459,-4.252781555358354e-06,0.6426,-0.0848,0.9997,72.22134399414062,33.9263,0.14034773409366608,-1.0408178432899153,0.0186,67.85131072998047,50.17770004272461,0.4997,-0.9152599223222326,61.8018,50.8888,51.3822,0.4921,1.0000261212359118,19.618,70.9111,-0.019160706159052632,0.5629,2,0.5094,0.08239335349952659,-1.0908833807635214,0.9249,59.8772,0.2863,-5.2290474342742144e-05,47.2911,0.9187,0.0053,0.6501,84.67792510986328,1.0000021522632319,72.2775,0.0031,0.2491433471441269,2,31.5692,20.977,0.9487,0.11915697902441025,155.97259521484375,0.6104,12.9606,43.976,0.0601,0.1056,1.0001552661232214,-0.1326,0.2864241600036621,-0.00031065413050823665,0.9842,54.68323516845703,11.8692,0.5917,2,FM,FM,IM
