trial,split,n_finestre,current_P,current_R2_P,cmd_skill_mae_avg,current_MAE_persist_avg,cmd_nRMSE_avg,cmd_RMSE_persist_1,sensor_diff_skill_mae_avg,current_RMSE_P,cmd_nRMSE_P,sensor_diff_MAE_persist_P,current_R2_1,cmd_MAE_persist_avg,cmd_skill_rmse_avg,current_nRMSE_1,sensor_diff_MAE_P,sensor_diff_MAE_persist_avg,current_R2_avg,sensor_diff_RMSE_persist_avg,cmd_RMSE_persist_P,current_MAE_avg,cmd_nRMSE_1,current_MAE_persist_P,sensor_diff_MAE_avg,cmd_RMSE_persist_avg,current_RMSE_persist_1,cmd_MAE_persist_1,sensor_diff_RMSE_1,sensor_diff_MAE_1,current_skill_mae_P,cmd_MAE_avg,cmd_skill_mae_1,current_skill_rmse_1,sensor_diff_nRMSE_avg,cmd_MAE_1,current_RMSE_avg,cmd_R2_P,current_skill_mae_avg,current_MAE_P,sensor_diff_skill_rmse_1,current_MAE_persist_1,current_skill_rmse_avg,cmd_RMSE_P,sensor_diff_nRMSE_1,current_RMSE_persist_avg,cmd_MAE_persist_P,current_RMSE_1,cmd_MAE_P,current_nRMSE_P,sensor_diff_RMSE_persist_1,sensor_diff_skill_mae_1,sensor_diff_skill_rmse_avg,cmd_R2_avg,sensor_diff_nRMSE_P,cmd_skill_mae_P,sensor_diff_skill_rmse_P,current_RMSE_persist_P,sensor_diff_P,current_skill_mae_1,cmd_RMSE_1,sensor_diff_R2_avg,current_MAE_1,current_nRMSE_avg,sensor_diff_MAE_persist_1,cmd_R2_1,sensor_diff_R2_1,cmd_P,cmd_skill_rmse_P,cmd_skill_rmse_1,cmd_RMSE_avg,sensor_diff_RMSE_persist_P,current_skill_rmse_P,sensor_diff_R2_P,sensor_diff_RMSE_avg,sensor_diff_RMSE_P,sensor_diff_skill_mae_P,sensor_diff_net,current_net,cmd_net
== MEDIA per-trial ==,MEDIA_val,11,1,0.9183112499953285,0.955,34.0877,0.0151,0.0694,0.7001,20.681108301336113,0.015088862267776287,34.11369453776967,0.9183,0.0612,0.9346,0.2811,9.798649094321512,34.1137,0.9183,57.0853,0.06940944323485548,13.2554,0.0151,34.08773118799383,9.7986,0.0694,50.4058,0.0612,15.6532,9.7986,0.5962669789198084,0.0026,0.955,0.5827,0.1007,0.0026,20.6811,0.9997404418717857,0.5963,13.255406726490367,0.7217,34.0877,0.5827,0.004393754188310017,0.1007,50.4058,0.06119718419557268,20.6811,0.0025747963968156414,0.28105003243172877,57.0853,0.7001,0.7217,0.9997,0.10071927543320958,0.9549851122389192,0.7217050177185584,50.40579691800204,1,0.5963,0.0044,0.9883,13.2554,0.2811,34.1137,0.9997,0.9883,1,0.9345692139779929,0.9346,0.0044,57.085311542857774,0.5827064715455016,0.9882571867022955,15.6532,15.653190439397639,0.7000602527631965,FM,FM,IM
== COMPLESSIVO (pooled) ==,POOLED_val,9754,1,0.9179333657046221,0.959,33.275,0.0157,0.0709,0.7023,21.07615852355957,0.015697408716314438,33.90435791015625,0.9179,0.0601,0.9366,0.2865,10.092998504638672,33.9044,0.9179,59.8487,0.07088415324687958,13.1497,0.0157,33.275028228759766,10.093,0.0709,51.3918,0.0601,18.1712,10.093,0.604818133387383,0.0025,0.959,0.5899,0.1165,0.0025,21.0762,0.9997535913611303,0.6048,13.149687767028809,0.6964,33.275,0.5899,0.004493596963584423,0.1165,51.3918,0.06011741980910301,21.0762,0.002464782213792205,0.2864727493591034,59.8487,0.7023,0.6964,0.9998,0.11652188592117756,0.9590005322647099,0.6963815570999936,51.39181137084961,1,0.6048,0.0045,0.9864,13.1497,0.2865,33.9044,0.9998,0.9864,1,0.9366064662163085,0.9366,0.0045,59.848731994628906,0.5898926704203628,0.9864226515275072,18.1712,18.171178817749023,0.7023096992019644,FM,FM,IM
