trial,split,n_finestre,cmd_MAE_persist_P,current_nRMSE_1,cmd_skill_rmse_avg,cmd_skill_mae_P,cmd_RMSE_1,sensor_diff_R2_avg,cmd_R2_avg,sensor_diff_R2_P,sensor_diff_MAE_1,current_P,current_MAE_persist_P,current_skill_rmse_avg,sensor_diff_skill_rmse_P,cmd_P,current_RMSE_persist_avg,sensor_diff_RMSE_avg,cmd_R2_P,sensor_diff_nRMSE_1,current_MAE_avg,current_MAE_P,cmd_MAE_persist_1,cmd_skill_mae_1,current_MAE_persist_1,cmd_nRMSE_avg,cmd_MAE_avg,current_RMSE_avg,cmd_RMSE_persist_P,current_RMSE_persist_1,current_RMSE_persist_P,sensor_diff_nRMSE_avg,current_skill_mae_1,cmd_skill_rmse_P,sensor_diff_RMSE_persist_1,sensor_diff_RMSE_persist_avg,cmd_RMSE_P,sensor_diff_nRMSE_P,current_nRMSE_P,current_nRMSE_avg,sensor_diff_skill_rmse_1,current_skill_rmse_P,sensor_diff_skill_rmse_avg,sensor_diff_RMSE_P,sensor_diff_skill_mae_1,cmd_RMSE_persist_1,cmd_skill_rmse_1,current_skill_rmse_1,cmd_nRMSE_1,sensor_diff_skill_mae_P,current_R2_P,cmd_RMSE_avg,cmd_MAE_1,current_MAE_1,sensor_diff_MAE_persist_P,current_skill_mae_P,cmd_MAE_P,sensor_diff_MAE_persist_avg,sensor_diff_MAE_P,current_R2_avg,sensor_diff_RMSE_persist_P,sensor_diff_MAE_avg,sensor_diff_R2_1,cmd_RMSE_persist_avg,sensor_diff_skill_mae_avg,cmd_skill_mae_avg,sensor_diff_RMSE_1,current_R2_1,current_MAE_persist_avg,cmd_nRMSE_P,sensor_diff_MAE_persist_1,current_skill_mae_avg,sensor_diff_P,cmd_MAE_persist_avg,current_RMSE_1,current_RMSE_P,cmd_R2_1,sensor_diff_net,current_net,cmd_net
== MEDIA per-trial ==,MEDIA_val,11,0.4498571347106587,0.2866,0.9444,0.9588648938729825,0.0088,0.9559,0.9966,0.9489837518252887,22.6382,10,94.54738304831766,0.7018,0.8708047041361191,10,94.2538,31.8826,0.9910651549427295,0.1912,20.3373,24.783276731317695,0.0614,0.8972,34.2317,0.0521,0.0108,27.2935,0.5054907473650846,50.5419,119.74600635875355,0.2038,0.5795,0.9499562863271944,57.2685,174.8921,0.026013599793342026,0.22108392267218385,0.43816725705222853,0.3686,0.4765,0.7316295799712225,0.7718,34.67371195012873,0.3294,0.0696,0.8716,0.5741,0.03,0.8876015219985298,0.7998400296220519,0.0153,0.0061,13.8337,233.24334716796875,0.7405125977508703,0.018956008028577675,150.6539,26.392000545154918,0.858,265.9072931463068,24.4496,0.9604,0.3236,0.7754,0.9555,29.9005,0.9151,73.3057,0.0880882646500097,34.2566,0.7117,10,0.2871,21.1329,32.611839294433594,0.999,FM,FM,IM
== COMPLESSIVO (pooled) ==,POOLED_val,9655,0.44471848011016846,0.2928,0.9448,0.9598911092718028,0.0089,0.9505,0.9966,0.9434350215163279,23.1937,10,92.7789535522461,0.6979,0.862229888041894,10,94.7695,34.778,0.9909503495115594,0.2122,19.9384,24.1424560546875,0.0603,0.9026,33.3925,0.0545,0.0102,27.7064,0.510495126247406,51.5094,119.94880676269531,0.2224,0.589,0.9465726535015232,60.0244,178.9633,0.027274399995803833,0.23783392892093108,0.4504721067086593,0.3758,0.4474,0.7231413382453681,0.7588,37.19516372680664,0.3182,0.071,0.8741,0.581,0.0312,0.8838757617212201,0.7970748687271529,0.0156,0.0059,13.7251,230.56565856933594,0.7397852084945936,0.0178371649235487,148.5272,26.774261474609375,0.8572,269.97991943359375,24.9524,0.955,0.3284,0.7703,0.9581,33.1701,0.9143,71.8394,0.09512964910809035,34.0184,0.7117,10,0.2829,21.581,33.208866119384766,0.999,FM,FM,IM
