trial,split,n_finestre,cmd_skill_mae_P,current_MAE_avg,current_MAE_1,sensor_diff_MAE_P,current_skill_mae_1,cmd_nRMSE_avg,cmd_R2_avg,sensor_diff_MAE_persist_P,current_R2_1,cmd_MAE_persist_1,sensor_diff_skill_rmse_avg,cmd_RMSE_persist_1,cmd_skill_mae_1,current_skill_rmse_avg,current_skill_rmse_1,cmd_RMSE_P,cmd_P,sensor_diff_RMSE_persist_1,current_RMSE_1,cmd_RMSE_persist_P,cmd_nRMSE_1,current_MAE_persist_avg,current_MAE_persist_P,cmd_nRMSE_P,sensor_diff_RMSE_1,sensor_diff_skill_mae_P,sensor_diff_RMSE_avg,cmd_MAE_persist_P,sensor_diff_MAE_persist_1,cmd_R2_1,sensor_diff_nRMSE_1,cmd_RMSE_persist_avg,sensor_diff_nRMSE_P,current_skill_mae_avg,cmd_MAE_P,current_skill_rmse_P,sensor_diff_R2_1,sensor_diff_skill_mae_1,sensor_diff_MAE_persist_avg,current_MAE_P,current_R2_P,cmd_skill_rmse_1,sensor_diff_P,sensor_diff_skill_rmse_P,current_RMSE_persist_1,sensor_diff_RMSE_P,cmd_RMSE_1,sensor_diff_R2_P,current_RMSE_persist_P,cmd_R2_P,sensor_diff_MAE_avg,cmd_MAE_1,sensor_diff_skill_mae_avg,sensor_diff_nRMSE_avg,sensor_diff_MAE_1,current_P,cmd_RMSE_avg,cmd_skill_rmse_P,sensor_diff_RMSE_persist_avg,current_nRMSE_1,cmd_skill_rmse_avg,current_RMSE_P,cmd_MAE_persist_avg,current_R2_avg,current_RMSE_avg,current_RMSE_persist_avg,sensor_diff_skill_rmse_1,current_MAE_persist_1,current_nRMSE_P,sensor_diff_RMSE_persist_P,current_nRMSE_avg,cmd_skill_mae_avg,sensor_diff_R2_avg,current_skill_mae_P,cmd_MAE_avg,sensor_diff_net,current_net,cmd_net
== MEDIA per-trial ==,MEDIA_val,11,0.9402987788038981,25.0366,18.8362,30.497827529907227,0.4364,0.0733,0.9933,233.24334716796875,0.8777,0.0614,0.7568,0.0696,0.882,0.6441,0.4926,0.03587662682614543,10,57.2685,25.3891,0.5054907473650846,0.0345,73.3057,94.54738304831766,0.12133411683244737,32.1262,0.8709710948212805,33.8583,0.4498571347106587,34.2566,0.9987,0.2051,0.3236,0.25259454004133625,0.6423,0.02756026421080936,0.6775616463333535,0.9552,0.2753,150.6539,30.6358379017223,0.7144902885072238,0.8549,10,0.8531169996286277,50.5419,39.678199074485086,0.0102,0.9332590243655734,119.74600635875355,0.9838613278122117,25.9168,0.0072,0.7602,0.2168,24.2453,10,0.0217,0.9309452098140379,174.8921,0.3433,0.9254,39.08095567876642,0.2871,0.7991,32.5269,94.2538,0.4337,34.2317,0.5254874439230034,265.9072931463068,0.4397,0.9382,0.9505,0.6790240936189698,0.016,FM,FM,IM
== COMPLESSIVO (pooled) ==,POOLED_val,9655,0.9405887295610937,24.4288,18.5571,30.500045776367188,0.4443,0.0778,0.9932,230.56565856933594,0.877,0.0603,0.7482,0.071,0.8863,0.6415,0.4982,0.03716353699564934,10,60.0244,25.8449,0.510495126247406,0.0368,71.8394,92.7789535522461,0.12962170513578924,35.1039,0.8677164415307097,36.4484,0.44471848011016846,34.0184,0.9986,0.2246,0.3284,0.2681300370699861,0.6437,0.026421289891004562,0.6701053878245229,0.9496,0.2759,148.5272,29.794740676879883,0.7118822385308876,0.8516,10,0.8446802548565556,51.5094,41.93321228027344,0.0105,0.9281062809437806,119.94880676269531,0.9831982143766258,26.27,0.0069,0.7589,0.2331,24.6343,10,0.0223,0.9272009954946397,178.9633,0.3507,0.9232,39.570465087890625,0.2829,0.7992,32.8598,94.7695,0.4152,33.3925,0.53676601626511,269.97991943359375,0.4457,0.9405,0.9455,0.6788631522977704,0.0151,FM,FM,IM
