trial,split,n_finestre,cmd_skill_mae_avg,sensor_diff_nRMSE_1,cmd_nRMSE_P,current_nRMSE_avg,sensor_diff_nRMSE_avg,current_skill_mae_avg,sensor_diff_MAE_persist_avg,cmd_R2_P,cmd_MAE_P,current_skill_rmse_1,current_P,current_MAE_avg,current_skill_mae_1,cmd_skill_rmse_P,current_skill_mae_P,sensor_diff_RMSE_persist_avg,cmd_P,sensor_diff_RMSE_avg,current_RMSE_persist_avg,cmd_MAE_persist_avg,current_MAE_1,current_MAE_P,current_skill_rmse_P,current_MAE_persist_1,cmd_skill_rmse_1,sensor_diff_MAE_1,current_RMSE_persist_1,cmd_RMSE_avg,cmd_RMSE_persist_1,current_R2_P,sensor_diff_R2_avg,sensor_diff_skill_rmse_P,sensor_diff_RMSE_persist_P,sensor_diff_skill_rmse_avg,cmd_RMSE_1,cmd_R2_avg,sensor_diff_skill_mae_avg,cmd_skill_mae_P,current_R2_avg,cmd_MAE_persist_P,sensor_diff_MAE_persist_1,current_RMSE_1,sensor_diff_MAE_persist_P,current_MAE_persist_avg,current_nRMSE_P,cmd_RMSE_P,cmd_MAE_persist_1,cmd_skill_mae_1,current_MAE_persist_P,sensor_diff_MAE_avg,cmd_nRMSE_1,sensor_diff_R2_P,current_RMSE_avg,current_skill_rmse_avg,sensor_diff_skill_mae_P,cmd_RMSE_persist_avg,current_nRMSE_1,cmd_skill_rmse_avg,cmd_RMSE_persist_P,sensor_diff_RMSE_persist_1,sensor_diff_skill_rmse_1,sensor_diff_nRMSE_P,current_RMSE_P,sensor_diff_P,cmd_R2_1,current_RMSE_persist_P,cmd_MAE_avg,sensor_diff_R2_1,sensor_diff_MAE_P,sensor_diff_RMSE_1,sensor_diff_skill_mae_1,sensor_diff_RMSE_P,cmd_MAE_1,current_R2_1,cmd_nRMSE_avg,sensor_diff_net,current_net,cmd_net
== MEDIA per-trial ==,MEDIA_val,11,0.904,0.1046,0.02524560001710249,0.2832,0.1046,0.5878,34.1137,0.9993424388669631,0.005439666777171872,0.5799,1,13.5255,0.5878,0.8884426260443044,0.5877940702748959,57.0853,1,16.1694,50.4058,0.0612,13.5255,13.525503548708828,0.5799433022291772,34.0877,0.8884,10.3751,50.4058,0.0073,0.0694,0.9169388091707993,0.9878,0.7089843464464166,57.085311542857774,0.709,0.0073,0.9993,0.6803,0.9039632351585667,0.9169,0.06119718419557268,34.1137,20.8785,34.11369453776967,34.0877,0.2832191736430328,0.007287261541932821,0.0612,0.904,34.08773118799383,10.3751,0.0252,0.9877731059458577,20.8785,0.5799,0.6803352464689696,0.0694,0.2832,0.8884,0.06940944323485548,57.0853,0.709,0.10456082377152237,20.878501892089844,1,0.9993,50.40579691800204,0.0054,0.9878,10.375140363519842,16.1694,0.6803,16.169429952448066,0.0054,0.9169,0.0252,FM,FM,IM
== COMPLESSIVO (pooled) ==,POOLED_val,9754,0.9119,0.1181,0.02527951557106394,0.2903,0.1181,0.5965,33.9044,0.9993609461065885,0.005295414011925459,0.5845,1,13.4262,0.5965,0.8979094031791346,0.5965075745321282,59.8487,1,18.413,51.3918,0.0601,13.4262,13.42622184753418,0.584483510496357,33.275,0.8979,10.6619,51.3918,0.0072,0.0709,0.9157542322151804,0.9861,0.6923417804056935,59.848731994628906,0.6923,0.0072,0.9994,0.6855,0.9119154809248213,0.9158,0.06011741980910301,33.9044,21.3541,33.90435791015625,33.275,0.2902512161247213,0.0072366055101156235,0.0601,0.9119,33.275028228759766,10.6619,0.0253,0.9860589429656343,21.3541,0.5845,0.685529242028195,0.0709,0.2903,0.8979,0.07088415324687958,59.8487,0.6923,0.11807226077530093,21.354145050048828,1,0.9994,51.39181137084961,0.0053,0.9861,10.6619291305542,18.413,0.6855,18.412954330444336,0.0053,0.9158,0.0253,FM,FM,IM
