trial,split,n_finestre,cmd_nRMSE_avg,sensor_diff_RMSE_persist_P,sensor_diff_MAE_persist_P,sensor_diff_MAE_persist_1,sensor_diff_RMSE_P,sensor_diff_MAE_avg,current_R2_P,cmd_skill_mae_P,cmd_skill_rmse_avg,current_nRMSE_1,current_RMSE_persist_P,sensor_diff_RMSE_persist_1,sensor_diff_RMSE_1,sensor_diff_skill_rmse_1,sensor_diff_skill_rmse_P,cmd_MAE_persist_P,sensor_diff_skill_mae_avg,sensor_diff_R2_avg,current_MAE_1,cmd_RMSE_P,cmd_MAE_persist_1,current_nRMSE_avg,sensor_diff_P,cmd_RMSE_persist_1,current_R2_1,current_RMSE_persist_1,cmd_skill_rmse_1,current_MAE_P,cmd_RMSE_persist_avg,current_MAE_avg,cmd_RMSE_avg,current_skill_rmse_P,sensor_diff_nRMSE_avg,cmd_R2_1,sensor_diff_RMSE_avg,current_P,sensor_diff_R2_P,sensor_diff_skill_mae_P,cmd_RMSE_1,current_RMSE_avg,cmd_P,sensor_diff_skill_rmse_avg,current_RMSE_P,current_nRMSE_P,sensor_diff_MAE_persist_avg,current_RMSE_persist_avg,cmd_MAE_1,sensor_diff_MAE_P,sensor_diff_RMSE_persist_avg,current_skill_mae_avg,cmd_R2_P,current_skill_mae_1,current_RMSE_1,current_MAE_persist_P,sensor_diff_nRMSE_P,current_skill_rmse_1,sensor_diff_R2_1,sensor_diff_skill_mae_1,sensor_diff_MAE_1,cmd_MAE_persist_avg,cmd_skill_rmse_P,current_skill_mae_P,current_R2_avg,cmd_RMSE_persist_P,cmd_nRMSE_P,current_skill_rmse_avg,cmd_nRMSE_1,current_MAE_persist_avg,cmd_MAE_avg,sensor_diff_nRMSE_1,cmd_skill_mae_avg,cmd_MAE_P,cmd_R2_avg,current_MAE_persist_1,cmd_skill_mae_1,sensor_diff_net,current_net,cmd_net
== MEDIA per-trial ==,MEDIA_val,11,0.0457,265.9072931463068,233.24334716796875,34.2566,34.46586366133256,24.195,0.835264859507473,0.9663295592618066,0.9539,0.3253,119.74600635875355,57.2685,31.7459,0.441,0.8726767836796447,0.4498571347106587,0.7739,0.9561,17.1814,0.022676634348251602,0.0614,0.348,10,0.0696,0.8906,50.5419,0.9137,22.018295981667258,0.3236,18.8163,0.0134,0.7562999000323155,0.2031,0.9995,31.8365,10,0.9494316167767469,0.8898739352153906,0.0061,25.7342,10,0.7696,29.629817789251153,0.39776093868528384,150.6539,94.2538,0.004,26.033617453141645,174.8921,0.7252,0.993331593041524,0.4813,24.015,94.54738304831766,0.21887865418289748,0.5172,0.956,0.2903,23.8534,0.2871,0.9558702356151315,0.7703613176280499,0.8743,0.5054907473650846,0.07710380342619669,0.7141,0.0207,73.3057,0.0086,0.2029,0.9659,0.015186186964538965,0.9973,34.2317,0.9351,FM,FM,IM
== COMPLESSIVO (pooled) ==,POOLED_val,9655,0.0477,269.97991943359375,230.56565856933594,34.0184,37.140045166015625,24.6194,0.8333427924134544,0.9678473645709273,0.9534,0.3306,119.94880676269531,60.0244,34.6199,0.4232,0.862434046043373,0.44471848011016846,0.7701,0.9507,16.9221,0.023247255012392998,0.0603,0.3538,10,0.071,0.8907,51.5094,0.909,21.328420639038086,0.3284,18.4439,0.0137,0.7490990768945034,0.222,0.9995,34.7141,10,0.9436025419092753,0.8859014178426431,0.0065,26.0863,10,0.7572,30.095266342163086,0.4082367034868089,148.5272,94.7695,0.0037,26.307214736938477,178.9633,0.7261,0.9934254699971192,0.4932,24.3656,92.7789535522461,0.23748148891110404,0.527,0.9509,0.2887,24.1965,0.2829,0.9544613575779244,0.770115744762873,0.8741,0.510495126247406,0.08108347800118354,0.7117,0.0225,71.8394,0.0081,0.2215,0.9682,0.014298871159553528,0.9974,33.3925,0.938,FM,FM,IM
