trial,split,n_finestre,sensor_diff_net,sensor_diff_P,sensor_diff_RMSE_1,sensor_diff_RMSE_pct_1,sensor_diff_skill_rmse_1,sensor_diff_MAE_1,sensor_diff_MAE_pct_1,sensor_diff_skill_mae_1,sensor_diff_RMSE_avg,sensor_diff_RMSE_pct_avg,sensor_diff_skill_rmse_avg,sensor_diff_MAE_avg,sensor_diff_MAE_pct_avg,sensor_diff_skill_mae_avg,sensor_diff_RMSE_persist,sensor_diff_MAE_persist,current_net,current_P,current_RMSE_1,current_RMSE_pct_1,current_skill_rmse_1,current_MAE_1,current_MAE_pct_1,current_skill_mae_1,current_RMSE_avg,current_RMSE_pct_avg,current_skill_rmse_avg,current_MAE_avg,current_MAE_pct_avg,current_skill_mae_avg,current_RMSE_persist,current_MAE_persist,cmd_net,cmd_P,cmd_RMSE_1,cmd_RMSE_pct_1,cmd_skill_rmse_1,cmd_MAE_1,cmd_MAE_pct_1,cmd_skill_mae_1,cmd_RMSE_avg,cmd_RMSE_pct_avg,cmd_skill_rmse_avg,cmd_MAE_avg,cmd_MAE_pct_avg,cmd_skill_mae_avg,cmd_RMSE_persist,cmd_MAE_persist
trial_20260910_143943.csv,val,695,FM,10,40.3846,6.8263,0.5352,30.9232,5.227,0.4327,40.4234,6.8496,0.8141,32.5445,5.5146,0.816,86.8806,54.5128,FM,10,30.4095,7.6383,0.6148,22.614,5.6802,0.6197,37.1432,9.3296,0.713,28.3643,7.1246,0.7295,78.9366,59.4587,IM,10,0.0114,1.1064,0.8987,0.0078,0.7558,0.9225,0.0286,2.765,0.9399,0.0199,1.9223,0.9547,0.1128,0.1007
trial_20260910_144543.csv,val,676,FM,10,24.9276,4.3413,0.5709,21.0831,3.6717,0.4126,25.5416,4.4482,0.8258,21.3866,3.7246,0.8153,58.0992,35.8902,FM,10,24.642,5.9101,0.5747,16.9536,4.0661,0.5678,26.4483,6.3433,0.7217,19.1816,4.6004,0.7407,57.9383,39.2278,IM,10,0.0038,0.3697,0.9507,0.003,0.2943,0.9559,0.0098,0.9553,0.97,0.0075,0.728,0.974,0.0769,0.0685
trial_20260910_144618.csv,val,760,FM,10,27.585,4.9471,0.57,22.678,4.0671,0.4314,28.6889,5.1451,0.8198,23.7401,4.2575,0.8127,64.153,39.8826,FM,10,24.9696,6.678,0.5764,16.7903,4.4905,0.601,27.6292,7.3893,0.7164,20.0273,5.3562,0.738,58.953,42.0808,IM,10,0.0101,0.9861,0.884,0.0047,0.4531,0.9398,0.0211,2.0493,0.9388,0.0102,0.9922,0.9668,0.0874,0.0774
trial_20260910_144953.csv,val,835,FM,10,53.2299,7.4979,0.3653,40.7448,5.7392,0.1601,51.7164,7.2847,0.7267,37.9819,5.3501,0.7357,83.8689,48.5111,FM,10,29.341,5.8959,0.5482,20.1042,4.0398,0.5401,31.5539,6.3406,0.7351,22.7562,4.5727,0.7599,64.9388,43.7133,IM,10,0.0059,0.5704,0.9275,0.0041,0.3947,0.9427,0.0161,1.5558,0.9564,0.0124,1.1996,0.963,0.0816,0.0714
trial_20260910_145153.csv,val,760,FM,10,36.6944,6.1076,0.425,26.4113,4.396,0.3083,35.6029,5.9259,0.7641,26.0044,4.3283,0.7774,63.8182,38.1858,FM,10,28.5397,7.4193,0.5051,18.6253,4.8419,0.5311,29.313,7.6203,0.6926,20.8491,5.42,0.7186,57.6695,39.72,IM,10,0.0056,0.5463,0.9327,0.0041,0.4035,0.9432,0.0132,1.2856,0.9614,0.0092,0.9011,0.9689,0.0832,0.0728
trial_20260910_145233.csv,val,744,FM,10,19.7449,3.9192,0.4665,15.5394,3.0844,0.2862,18.7142,3.7146,0.7961,14.7284,2.9235,0.7865,37.0109,21.7696,FM,10,17.3367,4.9197,0.5482,11.244,3.1908,0.5385,18.7825,5.33,0.7138,12.7927,3.6303,0.7324,38.3731,24.3655,IM,10,0.0032,0.3583,0.9401,0.0024,0.2723,0.9474,0.0096,1.0832,0.96,0.0077,0.8674,0.9637,0.053,0.0459
trial_20260910_145925.csv,val,696,FM,10,25.4035,4.3306,0.5189,20.7475,3.5369,0.3414,25.1525,4.2878,0.8125,20.3953,3.4769,0.8023,52.8046,31.5023,FM,10,21.0912,4.8699,0.5923,13.9235,3.2149,0.5915,24.2735,5.6047,0.7388,16.9245,3.9079,0.7609,51.7356,34.0849,IM,10,0.0064,0.6432,0.9061,0.0039,0.3854,0.9355,0.0158,1.5777,0.9455,0.0102,1.0232,0.9609,0.0686,0.0598
trial_20260910_150038.csv,val,707,FM,10,48.0796,6.961,0.3213,34.1895,4.95,0.1505,46.0761,6.6709,0.6993,32.8489,4.7559,0.7178,70.836,40.2462,FM,10,22.1348,4.5212,0.554,14.5909,2.9803,0.5548,24.2967,4.9628,0.7409,16.9983,3.472,0.7637,49.63,32.7746,IM,10,0.007,0.6739,0.8972,0.0049,0.4741,0.9163,0.0145,1.3956,0.9476,0.011,1.0648,0.9557,0.068,0.0587
trial_20260910_150310.csv,val,765,FM,10,16.5536,3.2433,0.3448,13.4537,2.6359,0.1187,15.482,3.0333,0.76,12.2319,2.3965,0.752,25.2631,15.2656,FM,10,11.9425,3.3131,0.4957,8.2606,2.2917,0.4231,13.0201,3.6121,0.7569,9.1069,2.5265,0.7548,23.6821,14.3185,IM,10,0.0031,0.348,0.9067,0.0024,0.2666,0.9205,0.0078,0.8747,0.9491,0.0064,0.7132,0.9544,0.0334,0.03
trial_20260910_150628.csv,val,786,FM,10,20.0573,3.6735,0.3146,15.8549,2.9038,0.1085,18.6712,3.4196,0.7499,14.9803,2.7437,0.7415,29.2652,17.7847,FM,10,16.1995,3.7638,0.4416,10.401,2.4166,0.3867,16.1009,3.7409,0.7443,10.9548,2.5453,0.748,29.0101,16.958,IM,10,0.0034,0.3405,0.9118,0.0023,0.234,0.9325,0.0121,1.2113,0.9374,0.0087,0.8778,0.9506,0.0384,0.0345
