trial,split,n_finestre,cmd_MAE_persist_avg,cmd_skill_mae_P,sensor_diff_MAE_persist_P,current_skill_rmse_P,current_RMSE_persist_1,cmd_R2_avg,cmd_nRMSE_1,sensor_diff_nRMSE_1,cmd_skill_rmse_avg,cmd_skill_rmse_1,sensor_diff_skill_rmse_avg,sensor_diff_P,current_MAE_1,current_R2_P,cmd_nRMSE_P,sensor_diff_MAE_P,sensor_diff_skill_rmse_1,current_R2_1,cmd_MAE_persist_P,cmd_MAE_1,cmd_R2_1,sensor_diff_R2_1,sensor_diff_RMSE_persist_1,cmd_MAE_avg,sensor_diff_skill_rmse_P,cmd_skill_mae_avg,current_nRMSE_1,current_skill_mae_1,sensor_diff_skill_mae_P,current_R2_avg,cmd_MAE_P,cmd_RMSE_avg,current_MAE_avg,sensor_diff_RMSE_P,current_skill_rmse_avg,current_MAE_persist_1,sensor_diff_skill_mae_1,sensor_diff_R2_P,current_P,cmd_RMSE_persist_avg,sensor_diff_RMSE_avg,sensor_diff_skill_mae_avg,current_nRMSE_P,cmd_P,cmd_RMSE_1,cmd_RMSE_persist_1,current_RMSE_persist_P,current_nRMSE_avg,cmd_nRMSE_avg,current_RMSE_persist_avg,current_RMSE_avg,sensor_diff_MAE_avg,sensor_diff_RMSE_persist_avg,current_skill_mae_P,sensor_diff_MAE_persist_1,sensor_diff_MAE_persist_avg,sensor_diff_RMSE_persist_P,current_RMSE_1,cmd_skill_rmse_P,sensor_diff_nRMSE_P,cmd_skill_mae_1,sensor_diff_R2_avg,current_skill_rmse_1,cmd_MAE_persist_1,sensor_diff_MAE_1,sensor_diff_nRMSE_avg,current_MAE_persist_P,cmd_RMSE_P,sensor_diff_RMSE_1,current_MAE_P,cmd_RMSE_persist_P,current_skill_mae_avg,current_MAE_persist_avg,current_RMSE_P,cmd_R2_P,sensor_diff_net,current_net,cmd_net
== MEDIA per-trial ==,MEDIA_val,11,0.2871,0.9641055938168251,233.24334716796875,0.7643207898196182,50.5419,0.9971,0.0213,0.2017,0.952,0.9067,0.773,10,16.3407,0.8460087874732135,0.08064248050314873,25.36744325811213,0.4442,0.9,0.4498571347106587,0.0043,0.9995,0.9565,57.2685,0.0092,0.8747835905397673,0.9631,0.311,0.5036,0.8930473895256023,0.8821,0.016351591372354465,0.0137,18.0006,34.08380473743785,0.724,34.2317,0.2918,0.9503755157585853,10,0.3236,31.2412,0.777,0.38463360931679846,10,0.0062,0.0696,119.74600635875355,0.3366,0.0469,94.2538,24.9059,23.6445,174.8921,0.7802422124734651,34.2566,150.6539,265.9072931463068,22.9212,0.9538580771523727,0.21614914981583058,0.9255,0.9575,0.5383,0.0614,23.7036,0.1993,94.54738304831766,0.023768325336277485,31.551,21.094221982088957,0.5054907473650846,0.7374,73.3057,28.680737495422363,0.9924741897668921,FM,FM,IM
== COMPLESSIVO (pooled) ==,POOLED_val,9655,0.2829,0.9658697863013658,230.56565856933594,0.7570031001282922,51.5094,0.9972,0.0219,0.2202,0.9534,0.9118,0.7604,10,16.1171,0.8436776632888159,0.08613437265502692,25.664569854736328,0.4266,0.9001,0.44471848011016846,0.0041,0.9995,0.9515,60.0244,0.0087,0.8635406589936001,0.9658,0.3161,0.5173,0.8886886710970513,0.8816,0.015178336761891842,0.014,17.6616,36.84128189086914,0.7208,33.3925,0.2943,0.94450623903044,10,0.3284,34.139,0.7741,0.39537619923155626,10,0.0063,0.071,119.94880676269531,0.3431,0.0486,94.7695,25.2946,24.0284,178.9633,0.7793730274096368,34.0184,148.5272,269.97991943359375,23.2954,0.9516246405151758,0.23557113185320075,0.9319,0.9523,0.5477,0.0603,24.0054,0.2184,92.7789535522461,0.02469538524746895,34.4153,20.469539642333984,0.510495126247406,0.7379,71.8394,29.147188186645508,0.9925808701738292,FM,FM,IM
