t_ros_sec,t_rel_sec,tail_target_rad,tail_bias_rad,tail_bias_offset_rad,tail_amp_rad,tail_freq_hz,phase_rad,cycle_idx,present_position_rad,present_current_ma,sensor_len,sensor_values
1778492013.2604673,0.016267068000000003,0.060479200525152876,0.0,0.0,1.2,0.5015998217,0.05042069469425453,0,-0.9894176081862386,-5.38,0,[]
1778492013.3107677,0.066567438,0.2504268012392465,0.0,0.0,1.2,0.5066203695,0.21023425323762945,0,-1.1228739367322893,-5.38,0,[]
1778492013.3603728,0.11617251,0.4342553114666507,0.0,0.0,1.2,0.511599378,0.3702831717425318,0,-1.0032234352772094,217.89,0,[]
1778492013.410523,0.166322736,0.6097718748218597,0.0,0.0,1.2,0.5166131059,0.5330275698892446,0,-0.6534758156392831,174.85,0,[]
1778492013.4605358,0.21633534100000001,0.7701127967465881,0.0,0.0,1.2,0.5216099238,0.696791871105862,0,-0.2653786763042159,29.59,0,[]
1778492013.5106666,0.26646625500000004,0.9112953658102578,0.0,0.0,1.2,0.5266152782,0.8624101075638801,0,0.12425244381873693,16.14,0,[]
1778492013.5605876,0.31638736500000003,1.0282264601806377,0.0,0.0,1.2,0.5316068837,1.0291389438138872,0,0.43718452454740775,16.14,0,[]
1778492013.610803,0.366602608,1.1179686190684253,0.0,0.0,1.2,0.5366416344,1.1989016160850527,0,0.6565437772150544,2.69,0,[]
1778492013.660421,0.416220684,1.1753521416752435,0.0,0.0,1.2,0.5416038697,1.3677663581176112,0,0.8222137023067037,2.69,0,[]
1778492013.7104394,0.46623923100000003,1.1994115167550028,0.0,0.0,1.2,0.5466035871,1.5394772338362712,0,0.9572040116406401,2.69,0,[]
1778492013.76077,0.5165699930000001,1.1877753570375802,0.0,0.0,1.2,0.5516289805,1.7136567210704692,0,1.059980724428978,2.69,0,[]
1778492013.8107429,0.5665427080000001,1.13996499396047,0.0,0.0,1.2,0.5566268068,1.8884501670210476,0,1.1351457830353744,2.69,0,[]
1778492013.860622,0.6164215550000001,1.0566785364461913,0.0,0.0,1.2,0.5616169259,2.0645386562864236,0,1.1765632643082868,2.69,0,[]
1778492013.9104447,0.66624445,0.9396238279918911,0.0,0.0,1.2,0.5666041137,2.242086463999997,0,1.1826991874598294,0.0,0,[]
1778492013.9608319,0.7166316030000001,0.7904980369736796,0.0,0.0,1.2,0.5716255741,2.422438712457217,0,1.1566215140657734,-13.45,0,[]
1778492014.010434,0.7662335370000001,0.6158131427547219,0.0,0.0,1.2,0.5766014564,2.602709643747009,0,1.0952622825503477,-45.73,0,[]
1778492014.0606003,0.816400036,0.41786706138510143,0.0,0.0,1.2,0.5816148378,2.7859183429645342,0,1.0016894544893238,-40.35,0,[]
1778492014.110614,0.8664137970000001,0.20464034422463523,0.0,0.0,1.2,0.5866151775,2.970221456879264,0,0.8728350683069298,-10.76,0,[]
1778492014.1606603,0.916460016,-0.017421100817746702,0.0,0.0,1.2,0.5916159218,3.1561107476078822,0,0.7133010663668231,-10.76,0,[]
1778492014.2108064,0.9666060850000001,-0.24134548027091507,0.0,0.0,1.2,0.5966305216,3.344095062525564,0,0.5276893910326605,-2.69,0,[]
1778492014.260476,1.016275874,-0.4568001473887776,0.0,0.0,1.2,0.6016044697,3.5321099209323217,0,0.3236699462438703,-2.69,0,[]
1778492014.310557,1.066356576,-0.65893303426681,0.0,0.0,1.2,0.6066099943,3.7228926380811886,0,0.1043106935762236,-2.69,0,[]
1778492014.3604772,1.116277165,-0.8381491552455711,0.0,0.0,1.2,0.611604757,3.914832678903064,0,-0.10584467436410924,-2.69,0,[]
1778492014.410835,1.166634772,-0.9888871785912472,0.0,0.0,1.2,0.6166460045,4.1101558695108285,0,-0.32213596545598466,-2.69,0,[]
1778492014.460618,1.216417856,-1.1014574652281035,0.0,0.0,1.2,0.6216167725,4.3043008141150425,0,-0.5292233718205462,-2.69,0,[]
1778492014.5106516,1.2664511950000001,-1.1733419013052504,0.0,0.0,1.2,0.6266181302,4.501212160351135,0,-0.7240389318820226,-5.38,0,[]
1778492014.5605118,1.316311513,-1.1998979709752553,0.0,0.0,1.2,0.6316108246000001,4.699348628229423,0,-0.8927768185494431,-2.69,0,[]
1778492014.6107473,1.366546912,-1.1789441758607355,0.0,0.0,1.2,0.6366269362,4.899995350065855,0,-1.0293011086712651,-2.69,0,[]
1778492014.6605713,1.4163710580000002,-1.1106195025505543,0.0,0.0,1.2,0.6416077469,5.100788782483296,0,-1.1274758790959463,-2.69,0,[]
1778492014.7105207,1.4663203900000001,-0.9959902956628041,0.0,0.0,1.2,0.6466117898,5.304092121540552,0,-1.1765632643082868,-2.69,0,[]
1778492014.760494,1.516293788,-0.8391292134892026,0.0,0.0,1.2,0.6516118243,5.508803426060119,0,-1.1719613219446299,16.14,0,[]
1778492014.8108404,1.566640121,-0.6443412529101291,0.0,0.0,1.2,0.6566426723000001,5.716366534718811,0,-1.1351457830353744,24.21,0,[]
1778492014.8603673,1.6161669820000002,-0.4236391548216721,0.0,0.0,1.2,0.6615984338,5.922374842283172,0,-1.05231082048955,26.9,0,[]
1778492014.9106357,1.6664354220000002,-0.1801697817050277,0.0,0.0,1.2,0.6666145720000001,6.1324739290174834,0,-0.9249904150950417,32.28,0,[]
1778492014.9606194,1.716419115,0.07239437573186494,0.0,0.0,1.2,0.6716165182,0.06036530131796969,1,-0.7562525284276211,24.21,0,[]
1778492015.0107713,1.7665710190000001,0.323989337096888,0.0,0.0,1.2,0.6766270990000001,0.2733838029834539,1,-0.5537670644267164,13.45,0,[]
1778492015.0606093,1.8164091000000002,0.5615484255495456,0.0,0.0,1.2,0.6816144516,0.48697764690333845,1,-0.3282718886075272,13.45,0,[]
1778492015.1105099,1.8663097530000001,0.7751455481668631,0.0,0.0,1.2,0.6866049984,0.7022731514639888,1,-0.08130098175793898,21.52,0,[]
1778492015.1605303,1.9163299200000001,0.9544773002234168,0.0,0.0,1.2,0.6916076552,0.9196635555572268,1,0.16106798272799233,8.07,0,[]
1778492015.2105467,1.966346584,1.0898777993576167,0.0,0.0,1.2,0.6966196562,1.139038357600171,1,0.3957670432744954,2.69,0,[]
1778492015.2606199,2.016419682,1.1732631177271524,0.0,0.0,1.2,0.7016162292,1.3593065213830808,1,0.624330180669456,2.69,0,[]
